Environment,Model,Run,Backend,PP,Buffer.Size,N,Mean,SD,CV,P99,Max,Miss,N_Steady,Mean_Steady,SD_Steady,CV_Steady,P99_Steady,Max_Steady,Miss_Steady
Chrome,guitar-lstm,bypass,wasm-bypass,wasm,128,100,0.0012398437499999998,0.0003534914812441515,0.28510970131853436,0.0023195312500000074,0.0037890625,0.0,90,0.0011423611111111111,4.3941722548087834e-05,0.038465702412915796,0.0012324218749999998,0.00140625,0.0
Chrome,guitar-lstm,bypass,wasm-bypass,wasm,1024,100,0.0009853515625,3.373644441328234e-05,0.03423797728364829,0.0011037109375,0.001123046875,0.0,90,0.000977810329861111,2.358881207011527e-05,0.024124118297528974,0.00108994140625,0.0010986328125,0.0
Chrome,guitar-lstm,bypass,wasm-bypass,wasm,8192,100,0.000956085205078125,6.276976131976e-05,0.06565289472775689,0.000980718994140628,0.001573486328125,0.0,90,0.0009557630750868055,6.611289067987546e-05,0.06917288646443144,0.0010378784179687496,0.001573486328125,0.0
Chrome,guitar-lstm,bypass-jspp,wasm-bypass,js,128,100,0.0013015625,0.0002682808772602612,0.20612216260092098,0.002386718750000002,0.0027734375,0.0,90,0.0012252604166666666,7.778410527789998e-05,0.0634837331067239,0.0015230468749999999,0.0018359375,0.0
Chrome,guitar-lstm,bypass-jspp,wasm-bypass,js,1024,100,0.0009946777343749998,3.757484621842669e-05,0.03777589959026943,0.0011138183593750002,0.0011669921875,0.0,90,0.0009864366319444445,2.4386371429301195e-05,0.024721680683361544,0.001099169921875,0.001103515625,0.0
Chrome,guitar-lstm,bypass-jspp,wasm-bypass,js,8192,100,0.000962701416015625,1.1915733231627599e-05,0.012377392443177005,0.0010034790039062502,0.001009521484375,0.0,90,0.0009605577256944445,9.724725426866579e-06,0.010124040613838169,0.000986163330078125,0.001009521484375,0.0
Chrome,guitar-lstm,js-bypass,js-bypass,wasm,128,100,0.001296484375,0.0003127314779524442,0.24121499956560927,0.0024246093750000014,0.0026953125,0.0,90,0.0012078993055555554,0.0001390936362676034,0.11515333739150495,0.002013671875,0.0021875,0.0
Chrome,guitar-lstm,js-bypass,js-bypass,wasm,1024,100,0.0009933593749999999,3.883570327304152e-05,0.03909532063664424,0.0011279785156250001,0.0011328125,0.0,90,0.0009820963541666665,1.7355433379773958e-05,0.017671823448016443,0.0010763671875,0.00109375,0.0
Chrome,guitar-lstm,js-bypass,js-bypass,wasm,8192,100,0.0009540588378906251,1.1560005470327885e-05,0.012116658859202501,0.0009888427734375,0.00099609375,0.0,90,0.0009531046549479167,1.039594605707936e-05,0.010907454919153087,0.000980621337890625,0.00098876953125,0.0
Chrome,guitar-lstm,js-bypass-jspp,js-bypass,js,128,100,0.001349609375,0.0003358620184022363,0.2488586880201809,0.002550781250000006,0.0037109375,0.0,90,0.0012569444444444444,5.4485789274213136e-05,0.04334781025130769,0.0013625,0.001640625,0.0
Chrome,guitar-lstm,js-bypass-jspp,js-bypass,js,1024,100,0.00100478515625,4.075562905951151e-05,0.040561535773097276,0.0011670410156250002,0.001171875,0.0,90,0.0009925672743055555,1.4362699481206124e-05,0.014470252901754101,0.001058984375,0.00109375,0.0
Chrome,guitar-lstm,js-bypass-jspp,js-bypass,js,8192,100,0.000960760498046875,9.68238534894017e-06,0.010077834557752366,0.0009894775390625,0.0009991455078125,0.0,90,0.0009591810438368056,7.852765472486697e-06,0.008186948150137506,0.000977972412109375,0.0009893798828125,0.0
Chrome,guitar-lstm,onnx,wasm-onnx,wasm,128,100,0.013023437499999999,0.0032539059894791146,0.24985000998999804,0.03319257812500002,0.036015625,0.02,90,0.012646701388888888,0.002246202031701659,0.1776116919843717,0.018075781249999992,0.0331640625,0.011111111111111112
Chrome,guitar-lstm,onnx,wasm-onnx,wasm,1024,100,0.01164482421875,0.00047904931643075486,0.041138389676969964,0.012649951171875017,0.0158935546875,0.0,90,0.011589138454861111,0.0004697497054226796,0.04053361751197659,0.012321386718749997,0.0158935546875,0.0
Chrome,guitar-lstm,onnx,wasm-onnx,wasm,8192,100,0.011549072265625,9.899634067915334e-05,0.008571800262589835,0.01187928466796875,0.0118804931640625,0.0,90,0.011518846299913194,3.717842510726922e-05,0.0032276170841475152,0.01162969970703125,0.0116351318359375,0.0
Chrome,guitar-lstm,onnx-jspp,wasm-onnx,js,128,100,0.01258828125,0.0006190685836488943,0.049178165895276155,0.014516015625000012,0.016875,0.0,90,0.012442274305555556,0.00027777507271086507,0.02232510438922221,0.01328046875,0.01390625,0.0
Chrome,guitar-lstm,onnx-jspp,wasm-onnx,js,1024,100,0.0116837890625,0.0006391332625556525,0.0547025677318156,0.012822070312500026,0.01763671875,0.0,90,0.011629720052083334,0.0006478283371619262,0.05570455129277811,0.012578320312499997,0.01763671875,0.0
Chrome,guitar-lstm,onnx-jspp,wasm-onnx,js,8192,100,0.01160003662109375,0.0003085125798236069,0.026595828090973536,0.012005926513671888,0.0144537353515625,0.0,90,0.011544413248697916,7.00768517626807e-05,0.006070196055272416,0.011723480224609376,0.011737060546875,0.0
Chrome,guitar-lstm,onnxrt-web,js-onnx,wasm,128,100,0.01568046875,0.0276257895206855,1.7617961529807902,0.06483671875000115,0.2845703125,0.02,90,0.012891059027777778,0.00531733380048857,0.4124823095628317,0.020967968749999972,0.0626171875,0.011111111111111112
Chrome,guitar-lstm,onnxrt-web,js-onnx,wasm,1024,100,0.012067919921874998,0.003062649361297075,0.253784362269884,0.012628955078125153,0.042314453125,0.01,90,0.011717339409722222,0.0001667293187941966,0.014229281320967485,0.012228173828125,0.0122412109375,0.0
Chrome,guitar-lstm,onnxrt-web,js-onnx,wasm,8192,100,0.011736334228515626,0.00038548609874984325,0.0328455283604,0.011996148681640643,0.015469970703125,0.0,90,0.011675923665364582,3.594078776643922e-05,0.003078196534725029,0.011766143798828125,0.0118829345703125,0.0
Chrome,guitar-lstm,onnxrt-web-jspp,js-onnx,js,128,100,0.015185546875,0.027683199967081237,1.8229965766103655,0.017394140625001404,0.28921875,0.01,90,0.012312065972222223,0.00019968717686956493,0.016218819596978094,0.012894921875,0.0129296875,0.0
Chrome,guitar-lstm,onnxrt-web-jspp,js-onnx,js,1024,100,0.01207431640625,0.003116130099535239,0.2580792149791804,0.012619921875000155,0.042861328125,0.01,90,0.011720486111111112,0.00015026023505746152,0.012820307420100404,0.01218798828125,0.0122314453125,0.0
Chrome,guitar-lstm,onnxrt-web-jspp,js-onnx,js,8192,100,0.011756353759765626,0.00037926090107264935,0.03226007900260823,0.012004901123046892,0.0154388427734375,0.0,90,0.011699028862847221,3.927181659269788e-05,0.003356844149467309,0.01183021240234375,0.01185302734375,0.0
Chrome,steerable-nafx,bypass,wasm-bypass,wasm,128,100,0.001002734375,0.000946109050487677,0.9435290881373016,0.005425781250000017,0.00890625,0.0,90,0.0008168402777777778,0.0001041995793041851,0.1275642033564519,0.0013582031249999998,0.0016015625,0.0
Chrome,steerable-nafx,bypass,wasm-bypass,wasm,1024,100,0.0001234375,4.369569521004021e-05,0.3539904422079207,0.0002834960937500001,0.0003125,0.0,90,0.0001103515625,1.5280362426761043e-05,0.13846983296463103,0.000205615234375,0.0002099609375,0.0
Chrome,steerable-nafx,bypass,wasm-bypass,wasm,8192,100,4.0881347656250004e-05,2.9515689368812974e-05,0.7219842559250996,9.751586914062619e-05,0.0003253173828125,0.0,90,3.7238226996527774e-05,6.414807968441671e-06,0.17226405459743857,5.3930664062499976e-05,9.521484375e-05,0.0
Chrome,steerable-nafx,bypass-jspp,wasm-bypass,js,128,100,0.0009394531250000001,0.000250729815322366,0.26688911734937915,0.0017593750000000007,0.0019140625,0.0,90,0.0008602430555555556,4.647010943947845e-05,0.05401974376819291,0.001028515625,0.0011328125,0.0
Chrome,steerable-nafx,bypass-jspp,wasm-bypass,js,1024,100,0.000127685546875,3.104010326086282e-05,0.24309801712522774,0.00024907226562500005,0.00025390625,0.0,90,0.0001178927951388889,4.6617068962209005e-06,0.03954191509946785,0.000127490234375,0.0001318359375,0.0
Chrome,steerable-nafx,bypass-jspp,wasm-bypass,js,8192,100,3.8067626953124995e-05,2.5391036995818197e-06,0.06669981563884646,5.0665283203125004e-05,5.126953125e-05,0.0,90,3.746202256944444e-05,1.0770772469120572e-06,0.02875117713987406,4.08935546875e-05,4.08935546875e-05,0.0
Chrome,steerable-nafx,js-bypass,js-bypass,wasm,128,100,0.0009703125,0.00039970198810229766,0.41193119546774637,0.0024703125000000046,0.0033984375,0.0,90,0.0008758680555555555,0.0002750303337209957,0.31400886466460565,0.0015210937499999988,0.0033984375,0.0
Chrome,steerable-nafx,js-bypass,js-bypass,wasm,1024,100,0.000128759765625,3.6662368890346684e-05,0.2847346662397801,0.00025903320312500015,0.000283203125,0.0,90,0.00011778428819444445,1.3090255775132897e-05,0.11113753774631485,0.00015942382812499995,0.000224609375,0.0
Chrome,steerable-nafx,js-bypass,js-bypass,wasm,8192,100,4.0924072265625e-05,1.0171554981468968e-05,0.24854699003189795,9.529418945312505e-05,0.0001031494140625,0.0,90,3.995768229166667e-05,1.0020414768357364e-05,0.2507756755062633,9.6087646484375e-05,0.0001031494140625,0.0
