"Environment","Model","Mean","SE","CI_Lower","CI_Upper"
"Native","guitar-lstm",0.000599128702799479,6.33855532120034e-05,0.00046949069048731,0.000728766715111648
"Native","steerable-nafx",0.000392133748372396,8.45814332358369e-05,0.000219145293944394,0.000565122202800398
"Chrome","guitar-lstm",0.00106042683919271,2.47243735497778e-05,0.00100985981752554,0.00111099386085988
"Chrome","steerable-nafx",0.000389017740885417,8.53782981040077e-05,0.000214399514808258,0.000563635966962576
"Firefox","guitar-lstm",0.000795979817708333,3.99041941143142e-05,0.000714366577060321,0.000877593058356346
"Firefox","steerable-nafx",0.000371248372395833,7.86437319114517e-05,0.000210403880722595,0.000532092864069072
"Safari","guitar-lstm",0.0008936279296875,8.43762484555956e-05,0.000721059125254162,0.00106619673412084
"Safari","steerable-nafx",0.0004543701171875,9.89359272504797e-05,0.000252023426102934,0.000656716808272066
