"contrast","Buffer.Size","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"(wasm-bypass wasm) / (js-bypass wasm)","128","Chrome","guitar-lstm",0.953442618833754,0.0192601999338637,1295.99999999974,1,-2.36011900581822,0.1841658049175
"(wasm-bypass wasm) / (js-onnx wasm)","128","Chrome","guitar-lstm",0.0927539488566052,0.00187369387978354,1295.99999999998,1,-117.709091133152,0
"(wasm-bypass wasm) / (wasm-onnx wasm)","128","Chrome","guitar-lstm",0.0944950731809661,0.00190886579462611,1296.00000000011,1,-116.788458198502,0
"(wasm-bypass wasm) / (wasm-bypass js)","128","Chrome","guitar-lstm",0.944135123059212,0.0190721820857404,1296.0000000006,1,-2.84574342707021,0.0495059881472633
"(wasm-bypass wasm) / (js-bypass js)","128","Chrome","guitar-lstm",0.914420983548637,0.0184719359287821,1295.99999999961,1,-4.4287701805227,0.00012330239956221
"(wasm-bypass wasm) / (js-onnx js)","128","Chrome","guitar-lstm",0.0945086493939866,0.00190914004351324,1295.99999999937,1,-116.781346521033,0
"(wasm-bypass wasm) / (wasm-onnx js)","128","Chrome","guitar-lstm",0.0962611335396378,0.00194454143459795,1295.99999999974,1,-115.871809261528,0
"(js-bypass wasm) / (js-onnx wasm)","128","Chrome","guitar-lstm",0.0972831998742213,0.00196518788102351,1296.00000000011,1,-115.348972127342,0
"(js-bypass wasm) / (wasm-onnx wasm)","128","Chrome","guitar-lstm",0.0991093447202433,0.00200207726917106,1296.00000000011,1,-114.428339192692,0
"(js-bypass wasm) / (wasm-bypass js)","128","Chrome","guitar-lstm",0.990238011611094,0.0200034923014753,1296.00000000036,1,-0.485624421251904,1
"(js-bypass wasm) / (js-bypass js)","128","Chrome","guitar-lstm",0.959072906419006,0.0193739356348216,1295.99999999998,1,-2.06865117470465,0.348990875040817
"(js-bypass wasm) / (js-onnx js)","128","Chrome","guitar-lstm",0.0991235838708248,0.00200236490985514,1295.99999999998,1,-114.421227515223,0
"(js-bypass wasm) / (wasm-onnx js)","128","Chrome","guitar-lstm",0.100961643247481,0.00203949497975701,1295.99999999998,1,-113.511690255718,0
"(js-onnx wasm) / (wasm-onnx wasm)","128","Chrome","guitar-lstm",1.01877143071345,0.0205798870900585,1296.00000000011,1,0.920632934650042,1
"(js-onnx wasm) / (wasm-bypass js)","128","Chrome","guitar-lstm",10.1789210561678,0.205621241153027,1296.00000000036,1,114.863347706093,0
"(js-onnx wasm) / (js-bypass js)","128","Chrome","guitar-lstm",9.85856661436921,0.19914985999505,1296.00000000011,1,113.280320952635,0
"(js-onnx wasm) / (js-onnx js)","128","Chrome","guitar-lstm",1.01891779874617,0.0205828438254912,1296.00000000011,1,0.927744612116918,1
"(js-onnx wasm) / (wasm-onnx js)","128","Chrome","guitar-lstm",1.03781170210289,0.0209645137330382,1295.99999999998,1,1.83728187162228,0.531177093368608
"(wasm-onnx wasm) / (wasm-bypass js)","128","Chrome","guitar-lstm",9.99136876957714,0.201832555325025,1296.00000000048,1,113.942714771443,0
"(wasm-onnx wasm) / (js-bypass js)","128","Chrome","guitar-lstm",9.67691703669506,0.195480412967199,1295.99999999998,1,112.359688017985,0
"(wasm-onnx wasm) / (js-onnx js)","128","Chrome","guitar-lstm",1.00014367112023,0.020203593470497,1295.99999999998,1,0.0071116774668857,1
