"contrast","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"wasm / js","Chrome","guitar-lstm",0.991118758603261,0.00577964685331762,1295.99999999998,1,-1.52979691009828,0.12631103794447
"wasm / js","Firefox","guitar-lstm",0.964295184636616,0.00562322686476899,1295.99999999998,1,-6.23479624711651,6.10879146255145e-10
"wasm / js","Safari","guitar-lstm",0.894603830012961,0.00521682610304626,1295.99999999998,1,-19.0989462562371,7.60416851152687e-72
"wasm / js","Chrome","steerable-nafx",0.989479237138201,0.00577008608676547,1295.99999999998,1,-1.81370336023934,0.0699546019048153
"wasm / js","Firefox","steerable-nafx",0.998993672285992,0.0058255689183491,1295.99999999998,1,-0.172656303690686,0.862948551148878
"wasm / js","Safari","steerable-nafx",0.993639029963018,0.0057943436576183,1295.99999999986,1,-1.09429064076796,0.274030865206819
