"Environment","Run","Model.Unique","response","SE","df","lower.CL","upper.CL"
"Native","bypass","guitar-lstm",0.000516468375461827,3.48295804810277e-06,432.000000000042,0.000509667892993649,0.000523359596551048
"Chrome","bypass","guitar-lstm",0.00104403055591326,7.04073046860176e-06,432.000000000002,0.00103028351576703,0.00105796102237845
"Firefox","bypass","guitar-lstm",0.000762790493787529,5.14410449038221e-06,432.000000000002,0.000752746619609838,0.000772968383058572
"Safari","bypass","guitar-lstm",0.000749701463657225,5.05583472402248e-06,432.000000000015,0.000739829936372695,0.000759704706415999
"Native","onnx","guitar-lstm",0.00351781867985756,2.37234561977201e-05,432.000000000002,0.00347149858477486,0.0035647568224941
"Chrome","onnx","guitar-lstm",0.011984889405674,8.08236650962177e-05,432.000000000015,0.0118270810399373,0.0121448034034101
"Firefox","onnx","guitar-lstm",0.00657816264316006,4.43617956263752e-05,431.999999999988,0.00649154614957973,0.00666593485785633
"Safari","onnx","guitar-lstm",0.00608117531088176,4.10102137851521e-05,432.000000000002,0.00600110278746619,0.00616231623942772
"Native","bypass","steerable-nafx",0.00012459073471502,8.40214663301867e-07,431.999999999988,0.000122950213925399,0.000126253144921302
"Chrome","bypass","steerable-nafx",0.000159634664719106,1.07654382466773e-06,432.000000000002,0.00015753271077514,0.000161764664967619
"Firefox","bypass","steerable-nafx",0.000140984268292837,9.50769331166368e-07,432.000000000002,0.000139127889295852,0.000142865416895671
"Safari","bypass","steerable-nafx",0.000154385934578381,1.04114745239303e-06,432.000000000002,0.000152353092121194,0.000156445901187749
"Native","onnx","steerable-nafx",0.0113789934172474,7.67376253511575e-05,431.999999999988,0.0112291630521833,0.0115308229641019
"Chrome","onnx","steerable-nafx",0.0422245371448333,0.000284753720582613,432.000000000015,0.0416685549429732,0.0427879377995101
"Firefox","onnx","steerable-nafx",0.0209767156682583,0.000141462718979052,432.000000000015,0.0207005094300459,0.0212566073175125
"Safari","onnx","steerable-nafx",0.0208792179992255,0.000140805214459585,432.000000000015,0.0206042955398861,0.0211578087401863
