"contrast","Backend","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"wasm / js","wasm-bypass","Chrome","guitar-lstm",0.975264185878494,0.011374383814528,1295.99999999998,1,-2.14757389263398,0.0319326093005643
"wasm / js","js-bypass","Chrome","guitar-lstm",0.980133828459954,0.0114311778448667,1295.99999999998,1,-1.72051555298704,0.0855774674310082
"wasm / js","js-onnx","Chrome","guitar-lstm",1.00561329747463,0.0117283416945802,1295.99999999998,1,0.479950429447716,0.631343631010625
"wasm / js","wasm-onnx","Chrome","guitar-lstm",1.00383913205174,0.0117076498258921,1295.99999999998,1,0.32854519597674,0.742552554028054
"wasm / js","wasm-bypass","Firefox","guitar-lstm",0.958237190100463,0.0111758000994773,1295.99999999998,1,-3.65775545183025,0.000264634757655879
"wasm / js","js-bypass","Firefox","guitar-lstm",0.917158308065205,0.0106967022532667,1295.99999999998,1,-7.41456873407215,2.1960537931784e-13
"wasm / js","js-onnx","Firefox","guitar-lstm",0.991461968897231,0.0115632965252246,1295.99999999998,1,-0.735212308820977,0.46234322414522
"wasm / js","wasm-onnx","Firefox","guitar-lstm",0.99230825797551,0.0115731666885442,1295.99999999998,1,-0.662055999509621,0.508053035482841
"wasm / js","wasm-bypass","Safari","guitar-lstm",0.832540970924087,0.00970982086877342,1295.99999999998,1,-15.714208692687,4.5732591435886e-51
"wasm / js","js-bypass","Safari","guitar-lstm",0.800584083165806,0.00933711169710113,1295.99999999998,1,-19.0702312326285,1.16773755205844e-71
"wasm / js","js-onnx","Safari","guitar-lstm",0.984601736635288,0.0114832864972404,1295.99999999998,1,-1.33055087301078,0.183570896455111
"wasm / js","wasm-onnx","Safari","guitar-lstm",0.976000069548925,0.0113829663334306,1295.99999999998,1,-2.08290171414795,0.0374558439961604
"wasm / js","wasm-bypass","Chrome","steerable-nafx",0.977581223404252,0.0114014071324271,1295.99999999998,1,-1.94410885219367,0.0520984880019547
"wasm / js","js-bypass","Chrome","steerable-nafx",0.982311508350897,0.011456575852159,1295.99999999998,1,-1.53022332827837,0.126205494329533
"wasm / js","js-onnx","Chrome","steerable-nafx",0.998149136650197,0.0116412881235584,1295.99999999998,1,-0.158844057880752,0.873816484637991
"wasm / js","wasm-onnx","Chrome","steerable-nafx",1.00006729142692,0.0116636593220111,1295.99999999998,1,0.00576951787410247,0.995397504236425
"wasm / js","wasm-bypass","Firefox","steerable-nafx",0.986526120367591,0.0115057303432203,1295.99999999998,1,-1.1631331572332,0.24498959280943
"wasm / js","js-bypass","Firefox","steerable-nafx",1.00916790671043,0.0117697986560313,1295.99999999998,1,0.782494619824697,0.434066892545113
"wasm / js","js-onnx","Firefox","steerable-nafx",1.00057268375897,0.0116695536493584,1295.99999999998,1,0.0490890850011888,0.960855865628598
"wasm / js","wasm-onnx","Firefox","steerable-nafx",0.999839494932985,0.0116610025600884,1295.99999999998,1,-0.0137631549740523,0.989021056142984
"wasm / js","wasm-bypass","Safari","steerable-nafx",1.0144402587232,0.0118312894359317,1295.99999999998,1,1.22928452393732,0.219188283076309
"wasm / js","js-bypass","Safari","steerable-nafx",0.960908360483444,0.0112069536244503,1295.99999999998,1,-3.41907417598328,0.000647858875255738
"wasm / js","js-onnx","Safari","steerable-nafx",1.00153117196538,0.0116807323770296,1295.99999999986,1,0.131185576543331,0.895648866274297
"wasm / js","wasm-onnx","Safari","steerable-nafx",0.99848524056473,0.011645208061336,1295.99999999998,1,-0.129977206033291,0.896604630693365
