"contrast","Run","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"Native / Chrome","bypass","guitar-lstm",0.494687030505586,0.00471791412703894,432.000000000029,1,-73.7986221055386,3.05997209873247e-246
"Native / Firefox","bypass","guitar-lstm",0.677077624417389,0.00645740416132598,432.000000000029,1,-40.8894219238986,6.63186012167856e-150
"Native / Safari","bypass","guitar-lstm",0.688898715686601,0.00657014391405212,432.000000000029,1,-39.0745928691475,2.71216407072522e-143
"Chrome / Firefox","bypass","guitar-lstm",1.36869896048294,0.0130535141677888,432.000000000002,1,32.9092001816398,1.78596677490187e-119
"Chrome / Safari","bypass","guitar-lstm",1.3925950615332,0.0132814153371623,432.000000000002,1,34.724029236391,1.29939447646129e-126
"Firefox / Safari","bypass","guitar-lstm",1.01745898969765,0.00970367898319728,432.000000000002,1,1.81482905475112,0.0702435615087295
"Native / Chrome","onnx","guitar-lstm",0.293521163256802,0.00279936112596052,432.000000000002,1,-128.52927886398,0
"Native / Firefox","onnx","guitar-lstm",0.534772226028094,0.00510021343666,431.999999999988,1,-65.628943630263,3.30894576348763e-226
"Native / Safari","onnx","guitar-lstm",0.578476774639717,0.00551703113066726,432.000000000002,1,-57.3919623489628,6.19063807183325e-204
"Chrome / Firefox","onnx","guitar-lstm",1.82192050513312,0.0173759649221539,431.999999999988,1,62.9003352337171,4.06158111555314e-219
"Chrome / Safari","onnx","guitar-lstm",1.97081794110228,0.018796025027471,432.000000000002,1,71.1373165150172,5.94936834091663e-240
"Firefox / Safari","onnx","guitar-lstm",1.08172553936884,0.010316599969381,431.999999999988,1,8.23698128130018,2.1230481812809e-15
"Native / Chrome","bypass","steerable-nafx",0.780474184189568,0.00744351469173115,432.000000000002,1,-25.988173116743,1.46152337747225e-89
"Native / Firefox","bypass","steerable-nafx",0.883720830867694,0.0084281954755275,431.999999999988,1,-12.9612949244247,3.30774632026794e-32
"Native / Safari","bypass","steerable-nafx",0.807008326602224,0.0076965753090867,432.000000000002,1,-22.4826967498114,5.46671627854463e-74
"Chrome / Firefox","bypass","steerable-nafx",1.13228707466517,0.0107988139085974,432.000000000002,1,13.0268781923183,2.38133891033368e-32
"Chrome / Safari","bypass","steerable-nafx",1.03399746327319,0.00986140921122035,432.000000000002,1,3.50547636693165,0.00050344719042575
"Firefox / Safari","bypass","steerable-nafx",0.913193735412857,0.00870928356586288,432.000000000002,1,-9.52140182538664,2.45691250931292e-19
"Native / Chrome","onnx","steerable-nafx",0.269487700438647,0.0025701499141049,431.999999999988,1,-137.48654769299,0
"Native / Firefox","onnx","steerable-nafx",0.542458295054547,0.00517351678080515,432.000000000002,1,-64.1326615016148,2.08860326098378e-222
"Native / Safari","onnx","steerable-nafx",0.544991360196989,0.00519767505276961,431.999999999988,1,-63.6441796058945,2.7623129418696e-221
"Chrome / Firefox","onnx","steerable-nafx",2.01292413038362,0.0191975988974049,432.000000000002,1,73.3538861913749,2.29119506636803e-245
"Chrome / Safari","onnx","steerable-nafx",2.02232368790821,0.0192872440720274,431.999999999988,1,73.8423680870949,2.01142147842113e-246
"Firefox / Safari","onnx","steerable-nafx",1.00466960348019,0.00958170443729127,432.000000000015,1,0.488481895720165,0.625456409535758
