"Backend","PP","Buffer.Size","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"wasm-bypass","wasm","128","Chrome","guitar-lstm",0.00121046954368993,1.72904023319375e-05,1295.99999999924,0.00117702015411393,0.00124486952163019
"js-bypass","wasm","128","Chrome","guitar-lstm",0.00126957775935228,1.8134706788212e-05,1296.00000000011,0.0012344950087858,0.00130565751628861
"js-onnx","wasm","128","Chrome","guitar-lstm",0.013050328946763,0.000186411495629859,1296.00000000023,0.0126897039815908,0.0134212024067538
"wasm-onnx","wasm","128","Chrome","guitar-lstm",0.0128098693714092,0.00018297676005629,1296.00000000011,0.0124558891219634,0.0131739092814517
"wasm-bypass","js","128","Chrome","guitar-lstm",0.00128209354161906,1.83134827946123e-05,1296.00000000048,0.00124666493742985,0.0013185289808905
"js-bypass","js","128","Chrome","guitar-lstm",0.00132375521282594,1.89085800118409e-05,1295.99999999998,0.00128717535499482,0.00136137462287793
"js-onnx","js","128","Chrome","guitar-lstm",0.0128080292275021,0.000182950475356553,1295.99999999998,0.0124540998274897,0.0131720168430362
"wasm-onnx","js","128","Chrome","guitar-lstm",0.01257485237478,0.000179619766526185,1295.99999999998,0.0122273664441035,0.0129322134059183
"wasm-bypass","wasm","1024","Chrome","guitar-lstm",0.000984807226656298,1.40670314730747e-05,1296.00000000036,0.000957593654242681,0.00101279417358031
"js-bypass","wasm","1024","Chrome","guitar-lstm",0.000992651387252019,1.41790778218357e-05,1295.99999999998,0.000965221054007837,0.00102086125506889
"js-onnx","wasm","1024","Chrome","guitar-lstm",0.0119120443012755,0.000170152185685767,1295.99999999998,0.0115828740114842,0.0122505691847172
"wasm-onnx","wasm","1024","Chrome","guitar-lstm",0.0116365943335457,0.000166217645746952,1295.99999999998,0.0113150356630036,0.0119672912853694
"wasm-bypass","js","1024","Chrome","guitar-lstm",0.000994017559353584,1.41985922866266e-05,1295.99999999998,0.000966549474128701,0.00102226625201359
"js-bypass","js","1024","Chrome","guitar-lstm",0.00100402018388291,1.43414702329481e-05,1295.99999999998,0.000976275692129329,0.00103255313818746
"js-onnx","js","1024","Chrome","guitar-lstm",0.0119147706395222,0.000170191128825992,1295.99999999998,0.0115855250117345,0.0122533730019686
"wasm-onnx","js","1024","Chrome","guitar-lstm",0.0116702780963716,0.000166698786155936,1295.99999999998,0.0113477886289242,0.012001932297144
"wasm-bypass","wasm","8192","Chrome","guitar-lstm",0.000954628805369031,1.36359615229718e-05,1296.00000000023,0.000928249165354365,0.000981758120614525
"js-bypass","wasm","8192","Chrome","guitar-lstm",0.00095398960586949,1.36268311680822e-05,1295.99999999998,0.000927627629110531,0.000981100755892408
"js-onnx","wasm","8192","Chrome","guitar-lstm",0.0117310882547493,0.00016756740123981,1295.99999999998,0.011406918395847,0.0120644706015273
"wasm-onnx","wasm","8192","Chrome","guitar-lstm",0.0115486573726567,0.00016496155017516,1295.99999999998,0.0112295286993651,0.0118768552698529
"wasm-bypass","js","8192","Chrome","guitar-lstm",0.000962629199912874,1.37502395245944e-05,1295.99999999998,0.000936028481792399,0.000989985876017845
"js-bypass","js","8192","Chrome","guitar-lstm",0.00096071249557805,1.37228612322009e-05,1295.99999999998,0.000934164742515912,0.000988014701426268
"js-onnx","js","8192","Chrome","guitar-lstm",0.0117512764064821,0.000167855769722618,1295.99999999998,0.0114265486802996,0.0120852324744065
"wasm-onnx","js","8192","Chrome","guitar-lstm",0.0115964651566461,0.00016564443874851,1295.99999999998,0.0112760153917171,0.0119260216891943
"wasm-bypass","wasm","128","Firefox","guitar-lstm",0.00106696988985516,1.52406467125307e-05,1296.00000000011,0.00103748588367122,0.00109729179333904
"js-bypass","wasm","128","Firefox","guitar-lstm",0.00110118455117044,1.57293704998215e-05,1295.99999999998,0.00107075507755073,0.00113247879105106
"js-onnx","wasm","128","Firefox","guitar-lstm",0.00670627746072697,9.57927740107301e-05,1295.99999999998,0.00652096021044343,0.00689686118744103
"wasm-onnx","wasm","128","Firefox","guitar-lstm",0.0076025855354384,0.000108595679549255,1295.99999999998,0.00739250024524224,0.00781864117770662
"wasm-bypass","js","128","Firefox","guitar-lstm",0.00111016247175855,1.58576115281745e-05,1295.99999999998,0.00107948490766445,0.00114171185252379
"js-bypass","js","128","Firefox","guitar-lstm",0.00124682112724204,1.78096500142052e-05,1295.99999999998,0.00121236721980247,0.00128225417014358
"js-onnx","js","128","Firefox","guitar-lstm",0.00673448655072772,9.61957139426544e-05,1295.99999999998,0.00654838978736519,0.00692587194327368
"wasm-onnx","js","128","Firefox","guitar-lstm",0.00762028074295095,0.000108848438702786,1295.99999999998,0.00740970647400038,0.00783683926011697
"wasm-bypass","wasm","1024","Firefox","guitar-lstm",0.000674049131754734,9.62814863065785e-06,1295.99999999998,0.000655422862205896,0.000693204735779543
"js-bypass","wasm","1024","Firefox","guitar-lstm",0.000660780118850024,9.43861344336954e-06,1295.99999999998,0.00064252051724773,0.000679558634699761
"js-onnx","wasm","1024","Firefox","guitar-lstm",0.00576972606906249,8.24150310920193e-05,1295.99999999998,0.00561028891838247,0.00593369421723421
"wasm-onnx","wasm","1024","Firefox","guitar-lstm",0.00615310079996315,8.7891173284712e-05,1295.99999999998,0.00598306970183989,0.00632796396185462
"wasm-bypass","js","1024","Firefox","guitar-lstm",0.000695501587295819,9.93457648689507e-06,1295.99999999998,0.000676282513453395,0.00071526684234508
"js-bypass","js","1024","Firefox","guitar-lstm",0.000711377398099328,1.01613472946112e-05,1295.99999999998,0.000691719621620254,0.00073159382314644
"js-onnx","js","1024","Firefox","guitar-lstm",0.00584753804599636,8.35265009298549e-05,1295.99999999998,0.00568595068580161,0.00601371750985461
"wasm-onnx","js","1024","Firefox","guitar-lstm",0.00623757409282318,8.90977936639421e-05,1295.99999999998,0.006065208710375,0.00641483787637926
"wasm-bypass","wasm","8192","Firefox","guitar-lstm",0.000617123520186358,8.81502059109703e-06,1295.99999999998,0.000600070298855155,0.000634661371998899
"js-bypass","wasm","8192","Firefox","guitar-lstm",0.000618156785910964,8.82977980597142e-06,1295.99999999998,0.00060107501193427,0.000635724001798229
"js-onnx","wasm","8192","Firefox","guitar-lstm",0.00572091939743406,8.1717874361941e-05,1295.99999999998,0.00556283094105348,0.00588350052315974
"wasm-onnx","wasm","8192","Firefox","guitar-lstm",0.00608497049127569,8.69179968389718e-05,1295.99999999998,0.00591682206525195,0.00625789747796297
"wasm-bypass","js","8192","Firefox","guitar-lstm",0.000653299132834631,9.33175469692687e-06,1295.99999999998,0.000635246256314307,0.000671865048743095
"js-bypass","js","8192","Firefox","guitar-lstm",0.000657322638734138,9.38922663924054e-06,1295.99999999998,0.00063915857906427,0.000676002897473371
"js-onnx","js","8192","Firefox","guitar-lstm",0.00576762233950282,8.23849813227591e-05,1295.99999999998,0.00560824332202406,0.00593153070240293
"wasm-onnx","js","8192","Firefox","guitar-lstm",0.00612896745769024,8.75464515197672e-05,1295.99999999998,0.00595960324587707,0.00630314478122573
"wasm-bypass","wasm","128","Safari","guitar-lstm",0.00127072094812505,1.81510361489347e-05,1296.00000000023,0.00123560660736547,0.00130683319300688
"js-bypass","wasm","128","Safari","guitar-lstm",0.00132551082739259,1.89336572906172e-05,1295.99999999998,0.0012888824559612,0.0013631801297386
"js-onnx","wasm","128","Safari","guitar-lstm",0.00790868718759427,0.000112968049550496,1295.99999999998,0.00769014326788017,0.00813344184268485
"wasm-onnx","wasm","128","Safari","guitar-lstm",0.00751300475846718,0.000107316103633352,1295.99999999998,0.00730539488974944,0.00772651463098205
"wasm-bypass","js","128","Safari","guitar-lstm",0.00130844523686994,1.8689891614969e-05,1296.00000000011,0.00127228844573458,0.0013456295572182
"js-bypass","js","128","Safari","guitar-lstm",0.00142812256464735,2.03993680392784e-05,1295.99999999998,0.00138865868199439,0.00146870795977435
"js-onnx","js","128","Safari","guitar-lstm",0.00776494471487876,0.000110914825495091,1295.99999999998,0.00755037288846807,0.00798561439491461
"wasm-onnx","js","128","Safari","guitar-lstm",0.00761879347304669,0.000108827194471443,1295.99999999998,0.00740826030242089,0.00783530972392674
"wasm-bypass","wasm","1024","Safari","guitar-lstm",0.000637803841390136,9.11041924514073e-06,1295.99999999998,0.000620179152462653,0.000655929401168495
"js-bypass","wasm","1024","Safari","guitar-lstm",0.0006103410853951,8.71813998229337e-06,1295.99999999998,0.000593475285800189,0.00062768618918815
"js-onnx","wasm","1024","Safari","guitar-lstm",0.00616059836577144,8.79982688576751e-05,1295.99999999998,0.00599036008441016,0.00633567459878044
"wasm-onnx","wasm","1024","Safari","guitar-lstm",0.00561317509773911,8.01788498566078e-05,1295.99999999998,0.0054580639827331,0.00577269426990138
"wasm-bypass","js","1024","Safari","guitar-lstm",0.00082595462759532,1.17979736817776e-05,1295.99999999998,0.000803130692656556,0.000849427189228159
"js-bypass","js","1024","Safari","guitar-lstm",0.000764465449072217,1.09196594430865e-05,1295.99999999998,0.000743340669224012,0.000786190567825732
