"contrast","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"(wasm-bypass) / (js-bypass)","Chrome","guitar-lstm",0.984301604986643,0.00811743459751728,1295.99999999998,1,-1.91865116123366,0.0552479597188401
"(wasm-bypass) / (js-onnx)","Chrome","guitar-lstm",0.0867731882910036,0.000715609602993418,1295.99999999998,1,-296.409352715252,0
"(wasm-bypass) / (wasm-onnx)","Chrome","guitar-lstm",0.0883792071845725,0.000728854276439926,1295.99999999998,1,-294.185601844606,0
"(js-bypass) / (js-onnx)","Chrome","guitar-lstm",0.0881571134816763,0.000727022692402425,1295.99999999998,1,-294.490701554018,0
"(js-bypass) / (wasm-onnx)","Chrome","guitar-lstm",0.0897887463932072,0.000740478602033586,1295.99999999998,1,-292.266950683373,0
"(js-onnx) / (wasm-onnx)","Chrome","guitar-lstm",1.01850823883736,0.0083995332059902,1295.99999999998,1,2.22375087064609,0.0526740771462796
"(wasm-bypass) / (js-bypass)","Firefox","guitar-lstm",0.973985160849872,0.00803235593856264,1295.99999999998,1,-3.19625777194457,0.0014258285983384
"(wasm-bypass) / (js-onnx)","Firefox","guitar-lstm",0.128264343857069,0.00105778291651507,1295.99999999998,1,-249.022365048548,0
"(wasm-bypass) / (wasm-onnx)","Firefox","guitar-lstm",0.118001480617777,0.00097314613373815,1295.99999999998,1,-259.134791834392,0
"(js-bypass) / (js-onnx)","Firefox","guitar-lstm",0.131690244382316,0.00108603596752139,1295.99999999998,1,-245.826107276602,0
"(js-bypass) / (wasm-onnx)","Firefox","guitar-lstm",0.121153263274373,0.000999138562736429,1295.99999999998,1,-255.938534062448,0
"(js-onnx) / (wasm-onnx)","Firefox","guitar-lstm",0.919986623478705,0.00758703552736814,1295.99999999998,1,-10.1124267858441,6.87391299107506e-23
"(wasm-bypass) / (js-bypass)","Safari","guitar-lstm",0.977399258715993,0.00806051165424707,1295.99999999998,1,-2.77195783534474,0.00565177285383594
"(wasm-bypass) / (js-onnx)","Safari","guitar-lstm",0.124226987547472,0.00102448725223493,1295.99999999998,1,-252.900536591263,0
"(wasm-bypass) / (wasm-onnx)","Safari","guitar-lstm",0.133482075802557,0.00110081301785828,1295.99999999998,1,-244.187348766284,0
"(js-bypass) / (js-onnx)","Safari","guitar-lstm",0.127099531168735,0.00104817682548767,1295.99999999998,1,-250.128578755917,0
"(js-bypass) / (wasm-onnx)","Safari","guitar-lstm",0.136568628032225,0.00112626749820173,1295.99999999998,1,-241.415390930939,0
"(js-onnx) / (wasm-onnx)","Safari","guitar-lstm",1.07450143030755,0.00886130332539557,1295.99999999998,1,8.71318782497946,1.77253968180457e-17
"(wasm-bypass) / (js-bypass)","Chrome","steerable-nafx",0.958829823702286,0.00790737142418654,1295.99999999998,1,-5.09787721743605,7.88896282251415e-07
"(wasm-bypass) / (js-onnx)","Chrome","steerable-nafx",0.00380090349622983,3.13456621281636e-05,1295.99999999998,1,-675.710638324956,0
"(wasm-bypass) / (wasm-onnx)","Chrome","steerable-nafx",0.00382384687519301,3.15348738263221e-05,1295.99999999998,1,-674.980891103115,0
"(js-bypass) / (js-onnx)","Chrome","steerable-nafx",0.00396410645796725,3.26915802505289e-05,1295.99999999998,1,-670.612761107516,0
"(js-bypass) / (wasm-onnx)","Chrome","steerable-nafx",0.0039880349783324,3.28889163090047e-05,1295.99999999998,1,-669.883013885676,0
"(js-onnx) / (wasm-onnx)","Chrome","steerable-nafx",1.00603629610327,0.008296678370709,1295.99999999998,1,0.729747221841406,0.465676583021882
"(wasm-bypass) / (js-bypass)","Firefox","steerable-nafx",0.970827391633301,0.00800631413901698,1295.99999999998,1,-3.59002757658664,0.000685980354768543
"(wasm-bypass) / (js-onnx)","Firefox","steerable-nafx",0.00684659308712922,5.64631524717871e-05,1295.99999999998,1,-604.348970820078,0
"(wasm-bypass) / (wasm-onnx)","Firefox","steerable-nafx",0.00676618725557821,5.58000538081585e-05,1296.00000000011,1,-605.781439556944,0
"(js-bypass) / (js-onnx)","Firefox","steerable-nafx",0.00705232788663971,5.81598263073259e-05,1295.99999999998,1,-600.758943243491,0
"(js-bypass) / (wasm-onnx)","Firefox","steerable-nafx",0.00696950592236062,5.74768020443694e-05,1295.99999999998,1,-602.191411980355,0
"(js-onnx) / (wasm-onnx)","Firefox","steerable-nafx",0.988256081451348,0.00815004676019896,1295.99999999998,1,-1.4324687368684,0.152250867333474
"(wasm-bypass) / (js-bypass)","Safari","steerable-nafx",0.935502210634874,0.00771499098669506,1295.99999999998,1,-8.08446679127028,2.84023806524548e-15
"(wasm-bypass) / (js-onnx)","Safari","steerable-nafx",0.00743584822102426,6.13226792534277e-05,1295.99999999998,1,-594.337752938039,0
"(wasm-bypass) / (wasm-onnx)","Safari","steerable-nafx",0.00733586092202743,6.04980942318481e-05,1295.99999999998,1,-595.979325606191,0
"(js-bypass) / (js-onnx)","Safari","steerable-nafx",0.00794850951338529,6.555054446297e-05,1295.99999999998,1,-586.253286146766,0
"(js-bypass) / (wasm-onnx)","Safari","steerable-nafx",0.00784162863393876,6.4669108788948e-05,1295.99999999998,1,-587.894858814922,0
"(js-onnx) / (wasm-onnx)","Safari","steerable-nafx",0.986553343206479,0.0081360044521612,1295.99999999998,1,-1.64157266815628,0.100921217155044
