"contrast","Backend","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"wasm / js","wasm-bypass","Chrome","guitar-lstm",0.973008134474606,0.00787796029744849,1296.00000000036,1,-3.3795883222407,0.00074752536938409
"wasm / js","js-bypass","Chrome","guitar-lstm",0.977826317087208,0.00791697071265812,1295.99999999998,1,-2.76949481737726,0.00569442462729167
"wasm / js","js-onnx","Chrome","guitar-lstm",1.00312407386498,0.00812179399876291,1295.99999999998,1,0.385253394803067,0.700112905922009
"wasm / js","wasm-onnx","Chrome","guitar-lstm",1.00152798750893,0.00810887128568502,1295.99999999998,1,0.188577945541653,0.850453143675755
"wasm / js","wasm-bypass","Firefox","guitar-lstm",0.954363999907435,0.0077270080631391,1295.99999999998,1,-5.76917549754043,9.95239381142469e-09
"wasm / js","js-bypass","Firefox","guitar-lstm",0.915279872889976,0.00741056343128566,1295.99999999998,1,-10.9337848671166,1.11598949244763e-26
"wasm / js","js-onnx","Firefox","guitar-lstm",0.98953843695406,0.00801179789039761,1296.00000000011,1,-1.29891557509712,0.194203949734624
"wasm / js","wasm-onnx","Firefox","guitar-lstm",0.992695863369207,0.00803736199316235,1296.00000000011,1,-0.905445872207832,0.365397516380718
"wasm / js","wasm-bypass","Safari","guitar-lstm",0.819641488308793,0.00663622725674869,1295.99999999986,1,-24.564718743402,1.03434413003709e-109
"wasm / js","js-bypass","Safari","guitar-lstm",0.80306441227307,0.00650201096170407,1295.99999999998,1,-27.0882919136069,2.03063599563658e-128
"wasm / js","js-onnx","Safari","guitar-lstm",0.990761310545011,0.00802169888634719,1295.99999999998,1,-1.14637570641855,0.25185134156233
"wasm / js","wasm-onnx","Safari","guitar-lstm",0.972720231270971,0.00787562928917909,1295.99999999998,1,-3.41613912917297,0.000654818696139796
"wasm / js","wasm-bypass","Chrome","steerable-nafx",0.964038468785596,0.00780533739978154,1295.99999999998,1,-4.52344594367116,6.64120956929287e-06
"wasm / js","js-bypass","Chrome","steerable-nafx",0.977179725938551,0.00791173558746492,1295.99999999998,1,-2.85119336683214,0.00442459825207575
"wasm / js","js-onnx","Chrome","steerable-nafx",0.999160694504376,0.00808970449802755,1295.99999999998,1,-0.103706282521209,0.917418486131032
"wasm / js","wasm-onnx","Chrome","steerable-nafx",0.99987481256917,0.00809548635489269,1296.00000000011,1,-0.0154628874744885,0.98766527244895
"wasm / js","wasm-bypass","Firefox","steerable-nafx",0.98234977738183,0.00795359490863918,1295.99999999998,1,-2.1994498130193,0.0280220337503662
"wasm / js","js-bypass","Firefox","steerable-nafx",1.01172429183252,0.00819142566297714,1296.00000000011,1,1.43964613599415,0.150209031835634
"wasm / js","js-onnx","Firefox","steerable-nafx",1.00088568052291,0.00810367084721432,1296.00000000011,1,0.109342128878724,0.912948060098827
"wasm / js","wasm-onnx","Firefox","steerable-nafx",0.999382666509307,0.00809150169435096,1296.00000000011,1,-0.0762705026165268,0.939215664840055
"wasm / js","wasm-bypass","Safari","steerable-nafx",1.00000241692204,0.00809651950352766,1295.99999999986,1,0.000298514066353945,0.999761866179548
"wasm / js","js-bypass","Safari","steerable-nafx",0.958398488057555,0.00775967329618367,1296.00000000011,1,-5.24814790750132,1.7933388741711e-07
"wasm / js","js-onnx","Safari","steerable-nafx",1.00148317103694,0.00810850842912219,1296.00000000011,1,0.183050977217699,0.854786651610652
"wasm / js","wasm-onnx","Safari","steerable-nafx",0.998479195856192,0.00808418674426689,1296.00000000011,1,-0.187977737598214,0.850923529938522
