"PP","Backend","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"wasm","wasm-bypass","Chrome","guitar-lstm",0.00102517483664922,5.86921821360622e-06,1296.00000000073,0.00101372504640507,0.00103675394962946
"js","wasm-bypass","Chrome","guitar-lstm",0.00105361383972682,6.03203406596072e-06,1295.99999999961,0.00104184642500697,0.00106551416467785
"wasm","js-bypass","Chrome","guitar-lstm",0.00104520577070317,5.9838971140077e-06,1295.99999999974,0.00103353226252807,0.0010570111284567
"js","js-bypass","Chrome","guitar-lstm",0.00106890738410138,6.11959098404344e-06,1296.00000000011,0.00105696916156522,0.00108098044610353
"wasm","js-onnx","Chrome","guitar-lstm",0.0119983784488086,6.86917965677668e-05,1295.99999999974,0.0118643730951873,0.0121338973619459
"js","js-onnx","Chrome","guitar-lstm",0.011961011365802,6.84778666542181e-05,1296.00000000011,0.0118274233510065,0.012096108226368
"wasm","wasm-onnx","Chrome","guitar-lstm",0.0118882107639857,6.8061076656198e-05,1295.99999999974,0.0117554358315938,0.0120224853585699
"js","wasm-onnx","Chrome","guitar-lstm",0.0118700734400392,6.79572388440983e-05,1296.00000000011,0.0117375010765628,0.0120041431777389
"wasm","wasm-bypass","Firefox","guitar-lstm",0.000745045953002112,4.26545514092704e-06,1295.99999999974,0.000736724816373347,0.000753461074947043
"js","wasm-bypass","Firefox","guitar-lstm",0.000780672733961439,4.46942166860915e-06,1295.99999999998,0.000771953695282726,0.000789490252168064
"wasm","js-bypass","Firefox","guitar-lstm",0.000749123658419429,4.28880037146644e-06,1296.00000000011,0.000740756979440193,0.000757584837105161
"js","js-bypass","Firefox","guitar-lstm",0.000818464035545858,4.68578027169405e-06,1295.99999999998,0.000809322920104502,0.000827708397774666
"wasm","js-onnx","Firefox","guitar-lstm",0.00597300301239763,3.41959798631781e-05,1296.00000000011,0.00590629279949075,0.00604046670175026
"js","js-onnx","Firefox","guitar-lstm",0.00603615058226883,3.45575053844681e-05,1296.00000000011,0.00596873509802324,0.00610432750883703
"wasm","wasm-onnx","Firefox","guitar-lstm",0.00652554403323099,3.73593269404822e-05,1296.00000000011,0.00645266269851769,0.00659924854578539
"js","wasm-onnx","Firefox","guitar-lstm",0.00657355820047774,3.76342123696221e-05,1296.00000000011,0.00650014061367937,0.00664780502196066
"wasm","wasm-bypass","Safari","guitar-lstm",0.000712589333130952,4.07963807081366e-06,1295.99999999998,0.000704630692221233,0.000720637865051422
"js","wasm-bypass","Safari","guitar-lstm",0.000869391487980035,4.97734452075084e-06,1295.99999999974,0.000859681583072536,0.000879211064020624
"wasm","js-bypass","Safari","guitar-lstm",0.000724718674026203,4.14907963917491e-06,1295.99999999998,0.000716624565092801,0.000732904204050392
"js","js-bypass","Safari","guitar-lstm",0.000902441526421138,5.16655896558896e-06,1295.99999999998,0.000892362498126893,0.000912634395011865
"wasm","js-onnx","Safari","guitar-lstm",0.0064423230785262,3.68828794842581e-05,1295.99999999998,0.00637037120719926,0.00651508762961999
"js","js-onnx","Safari","guitar-lstm",0.00650239670237256,3.72268063878761e-05,1296.00000000011,0.00642977389144815,0.0065758397711716
"wasm","wasm-onnx","Safari","guitar-lstm",0.00595581988016518,3.40976048845307e-05,1295.99999999998,0.00588930157916713,0.00602308949000828
"js","wasm-onnx","Safari","guitar-lstm",0.00612284980685886,3.50538662488574e-05,1295.99999999998,0.00605446601174532,0.00619200598114261
"wasm","wasm-bypass","Chrome","steerable-nafx",0.000151588899130817,8.67860091715913e-07,1296.00000000011,0.000149895860015593,0.00015330106073178
"js","wasm-bypass","Chrome","steerable-nafx",0.000157243620497607,9.00233880510184e-07,1295.99999999974,0.000155487425936869,0.000159019650870255
"wasm","js-bypass","Chrome","steerable-nafx",0.000160513013333658,9.18951448767574e-07,1295.99999999998,0.000158720304160134,0.000162325970743209
"js","js-bypass","Chrome","steerable-nafx",0.000164261505916417,9.40411906197642e-07,1295.99999999998,0.000162426931246131,0.000166116801683846
"wasm","js-onnx","Chrome","steerable-nafx",0.0421894894372636,0.000241538624413874,1295.99999999998,0.0417182909769664,0.0426660099753303
"js","js-onnx","Chrome","steerable-nafx",0.0422249290522695,0.000241741519399622,1296.00000000011,0.0417533347803081,0.0427018498726017
"wasm","wasm-onnx","Chrome","steerable-nafx",0.042098377249668,0.000241016998939076,1295.99999999998,0.0416281963869545,0.0425738686966213
"js","wasm-onnx","Chrome","steerable-nafx",0.0421036480972019,0.000241047175015623,1296.00000000011,0.0416334083663846,0.0425791990771606
"wasm","wasm-bypass","Firefox","steerable-nafx",0.000133542445423029,7.64542519916232e-07,1295.99999999974,0.000132050960327879,0.000135050776497818
"js","wasm-bypass","Firefox","steerable-nafx",0.000135941849326772,7.78279323230321e-07,1295.99999999998,0.000134423566196373,0.000137477281114428
"wasm","js-bypass","Firefox","steerable-nafx",0.000140008508730391,8.01561314347328e-07,1296.00000000011,0.000138444806618272,0.000141589872496675
"js","js-bypass","Firefox","steerable-nafx",0.000138386030522995,7.92272480574195e-07,1296.00000000011,0.000136840449256693,0.000139949068772695
"wasm","js-onnx","Firefox","steerable-nafx",0.0206192309860386,0.000118046953287867,1296.00000000011,0.0203889425890296,0.0208521204372987
"js","js-onnx","Firefox","steerable-nafx",0.0206009850947873,0.000117942493918182,1296.00000000011,0.0203709004792409,0.0208336684629202
"wasm","wasm-onnx","Firefox","steerable-nafx",0.0209360869788276,0.000119860982366113,1296.00000000011,0.0207022597370038,0.0211725552453374
"js","wasm-onnx","Firefox","steerable-nafx",0.0209490195101684,0.000119935022272067,1296.00000000023,0.0207150478297904,0.0211856338466325
"wasm","wasm-bypass","Safari","steerable-nafx",0.00013993964959449,8.01167089596492e-07,1295.99999999974,0.000138376716544031,0.000141520235612739
"js","wasm-bypass","Safari","steerable-nafx",0.000139939311372084,8.01165153242731e-07,1295.99999999998,0.000138376382099104,0.000141519893570189
"wasm","js-bypass","Safari","steerable-nafx",0.000147495398749133,8.4442443358356e-07,1296.00000000011,0.000145848078392368,0.000149161325208822
"js","js-bypass","Safari","steerable-nafx",0.000153897779041858,8.81078637023958e-07,1295.99999999998,0.000152178952919643,0.000155636018908102
"wasm","js-onnx","Safari","steerable-nafx",0.0204612443159423,0.000117142465381523,1296.00000000011,0.0202327204123342,0.0206923493442562
"js","js-onnx","Safari","steerable-nafx",0.0204309417349036,0.000116968980377611,1295.99999999998,0.020202756269369,0.0206617045025641
"wasm","wasm-onnx","Safari","steerable-nafx",0.0207427828212799,0.000118754298665259,1296.00000000011,0.0205111145205246,0.0209770677619805
"js","wasm-onnx","Safari","steerable-nafx",0.0207743765792667,0.000118935175773424,1295.99999999998,0.0205423554197705,0.0210090183641661
