Environment,Model,Buffer.Size,It0_First_Rep,It0_Later_Reps,Steady,Ratio_First,Ratio_Later
Chrome,guitar-lstm,128,0.01671875,0.013394097222222222,0.012378348214285715,1.3506446668469931,1.0820585259319366
Chrome,guitar-lstm,1024,0.012802734375,0.011760525173611112,0.011634984853316327,1.1003653667285032,1.01078989976158
Chrome,guitar-lstm,8192,0.0118353271484375,0.011640421549479167,0.01157697903380102,1.022315676126059,1.005480057922962
Chrome,steerable-nafx,128,0.293984375,0.2814539930555556,0.27683402423469383,1.0619517445975735,1.0166885874438072
Chrome,steerable-nafx,1024,0.038291015625,0.03866970486111111,0.037107252471301026,1.0319011264607776,1.0421063885292638
Chrome,steerable-nafx,8192,0.0074176025390625,0.007331068250868055,0.007231817751514669,1.0256899155829693,1.0137241427762196
Firefox,guitar-lstm,128,0.02828125,0.008194444444444443,0.007448341836734694,3.796986043325627,1.1001702961631035
Firefox,guitar-lstm,1024,0.0109375,0.006280381944444444,0.006155532525510204,1.776856828336463,1.0202824724614532
Firefox,guitar-lstm,8192,0.00745849609375,0.006115451388888889,0.006089923469387755,1.2247273929207247,1.0041918292782257
Firefox,steerable-nafx,128,0.170625,0.14166666666666666,0.1364859693877551,1.2501284986682866,1.0379577278320329
Firefox,steerable-nafx,1024,0.02310546875,0.018700086805555557,0.018411431760204083,1.2549523063134056,1.0156780335777795
Firefox,steerable-nafx,8192,0.004423828125,0.0037055121527777776,0.003644710618622449,1.2137666300300203,1.016682129397233
Native,guitar-lstm,128,0.00419140625,0.00418125,0.004042747130102041,1.036771807662926,1.0342595926583376
Native,guitar-lstm,1024,0.00336162109375,0.0032875434027777777,0.0032643504862882654,1.0297978442787667,1.007104910023275
Native,guitar-lstm,8192,0.00318199462890625,0.003173366970486111,0.0031757460987324616,1.0019675786349174,0.9992508443142543
Native,steerable-nafx,128,0.07534609375,0.07509036458333333,0.07477583545918368,1.007626237638329,1.004206293680548
Native,steerable-nafx,1024,0.01010244140625,0.010093565538194444,0.010052995455994898,1.004918529056493,1.0040356212610593
Native,steerable-nafx,8192,0.0019624267578125,0.0019638319227430557,0.0019533259925063775,1.0046591123760376,1.005378482791394
Safari,guitar-lstm,128,0.04671875,0.01046875,0.007260841836734693,6.434343434343435,1.4418093983311377
Safari,guitar-lstm,1024,0.01435546875,0.006015625,0.005532246492346939,2.594871499283105,1.0873747235091107
Safari,guitar-lstm,8192,0.00713623046875,0.0054890950520833336,0.0053176319355867354,1.3419940596100328,1.032244261839397
Safari,steerable-nafx,128,0.19109375,0.14289930555555555,0.13612213010204083,1.4038404325347462,1.0497874625414279
Safari,steerable-nafx,1024,0.0255859375,0.019383680555555553,0.018346301020408164,1.394610143567282,1.0565443428619983
Safari,steerable-nafx,8192,0.00464111328125,0.0037820095486111108,0.0036572464923469387,1.2690184517127507,1.0341139314851346
