"Environment","Model","Mean","SE","CI_Lower","CI_Upper"
"Native","guitar-lstm",0.000596223624674479,6.28279325715607e-05,0.000467726074625208,0.00072472117472375
"Native","steerable-nafx",0.000389877026367188,8.41439881245636e-05,0.000217783247647568,0.000561970805086807
"Chrome","guitar-lstm",0.00103184611002604,1.74925137239208e-05,0.000996069902442466,0.00106762231760962
"Chrome","steerable-nafx",0.000337526041666667,6.9220150121406e-05,0.000195954938805491,0.000479097144527842
"Firefox","guitar-lstm",0.000768556315104167,3.51864366963457e-05,0.000696591971771775,0.000840520658436559
"Firefox","steerable-nafx",0.000340091145833333,7.167718239148e-05,0.000193494847741726,0.000486687443924941
"Safari","guitar-lstm",0.0007822802734375,5.81322905013904e-05,0.000663386389738987,0.000901174157136013
"Safari","steerable-nafx",0.000366736653645833,7.74163664083755e-05,0.000208402406281217,0.000525070901010449
