"contrast","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"wasm / js","Chrome","guitar-lstm",0.988778430375284,0.00400282224859109,1295.99999999998,1,-2.78762589963658,0.00538714022186766
"wasm / js","Firefox","guitar-lstm",0.962452290408979,0.00389624745332911,1295.99999999998,1,-9.45366090598106,1.47599004598698e-20
"wasm / js","Safari","guitar-lstm",0.892447804293294,0.00361285179468933,1295.99999999998,1,-28.1077627463004,3.99911983904488e-136
"wasm / js","Chrome","steerable-nafx",0.984946055825963,0.00398730783844648,1295.99999999998,1,-3.74690424024955,0.000186899429571443
"wasm / js","Firefox","steerable-nafx",0.998530084884623,0.00404229938364106,1295.99999999998,1,-0.363366025381521,0.716390737635445
"wasm / js","Safari","steerable-nafx",0.989424047403622,0.00400543586770501,1295.99999999998,1,-2.6263880769077,0.0087313472961374
