"contrast","Run","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"Native / Chrome","bypass","guitar-lstm",0.487412784609397,0.0024972166330171,432.000000000083,1,-140.266656752193,0
"Native / Firefox","bypass","guitar-lstm",0.658827825889604,0.00337544655588891,432.000000000083,1,-81.4482660611711,1.38651584066627e-263
"Native / Safari","bypass","guitar-lstm",0.693496345573504,0.0035530676744365,432.000000000083,1,-71.438582471234,8.84434350990189e-241
"Chrome / Firefox","bypass","guitar-lstm",1.3516835148622,0.0069252318824466,431.999999999988,1,58.8183906910196,5.09481064014413e-208
"Chrome / Safari","bypass","guitar-lstm",1.42281115200796,0.00728964809013786,431.999999999988,1,68.8280742809563,1.75021854270702e-234
"Firefox / Safari","bypass","guitar-lstm",1.05262151706645,0.00539301397848372,431.999999999988,1,10.0096835899366,2.37555352131456e-21
"Native / Chrome","onnx","guitar-lstm",0.292835013690604,0.00150031449729827,432.000000000002,1,-239.712492589085,0
"Native / Firefox","onnx","guitar-lstm",0.530800918761942,0.00271951193117634,432.000000000002,1,-123.62234665654,0
"Native / Safari","onnx","guitar-lstm",0.580456815073567,0.00297391955878122,431.999999999988,1,-106.167500558546,2.5181685118759e-311
"Chrome / Firefox","onnx","guitar-lstm",1.81262790973063,0.00928684004314334,432.000000000002,1,116.090145932546,0
"Chrome / Safari","onnx","guitar-lstm",1.98219744202737,0.010155614662676,432.000000000002,1,133.54499203054,0
"Firefox / Safari","onnx","guitar-lstm",1.09354900218983,0.00560270235725606,432.000000000002,1,17.4548460979939,5.10005221414301e-52
"Native / Chrome","bypass","steerable-nafx",0.813821050021051,0.00416954073956171,432.000000000002,1,-40.2104627223217,2.45533478331367e-147
"Native / Firefox","bypass","steerable-nafx",0.890905434903461,0.00456447582159596,432.000000000002,1,-22.546885767134,2.24631049807348e-74
"Native / Safari","bypass","steerable-nafx",0.879816978264073,0.00450766508698102,432.000000000002,1,-24.9914248666665,3.15304935310449e-85
"Chrome / Firefox","bypass","steerable-nafx",1.09471908459534,0.00560869717178965,432.000000000002,1,17.6635769551877,1.79015664221599e-52
"Chrome / Safari","bypass","steerable-nafx",1.08109390662888,0.00553888976804472,432.000000000002,1,15.2190378556552,6.94563892309931e-42
"Firefox / Safari","bypass","steerable-nafx",0.987553722084331,0.00505964484038585,432.000000000015,1,-2.44453909953251,0.0149024783853825
"Native / Chrome","onnx","steerable-nafx",0.270272503598408,0.00138471745662975,431.999999999988,1,-255.36195248819,0
"Native / Firefox","onnx","steerable-nafx",0.542866979036358,0.00278133133223372,432.000000000002,1,-119.235176289436,0
"Native / Safari","onnx","steerable-nafx",0.543044021194121,0.00278223839219413,432.000000000002,1,-119.171532920843,0
"Chrome / Firefox","onnx","steerable-nafx",2.00859122481432,0.010290840892814,431.999999999975,1,136.126776198754,0
"Chrome / Safari","onnx","steerable-nafx",2.00924627538515,0.0102941969869351,431.999999999988,1,136.190419567346,0
"Firefox / Safari","onnx","steerable-nafx",1.00032612438148,0.00512508312281742,432.000000000002,1,0.0636433685926507,0.949283635950214
