"contrast","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"(wasm-bypass) / (js-bypass)","Chrome","guitar-lstm",0.985791716899878,0.00914564066961244,1296.00000000382,1,-1.54246864487533,0.246407750140645
"(wasm-bypass) / (js-onnx)","Chrome","guitar-lstm",0.0864939733670429,0.00080244415421716,1296.00000000382,1,-263.830964789783,0
"(wasm-bypass) / (wasm-onnx)","Chrome","guitar-lstm",0.0870752130820222,0.000807836580918435,1296.00000000382,1,-263.109051057589,0
"(js-bypass) / (js-onnx)","Chrome","guitar-lstm",0.0877406168912126,0.000814009836419973,1295.99999999949,1,-262.288496144688,0
"(js-bypass) / (wasm-onnx)","Chrome","guitar-lstm",0.088330234053758,0.00081947998453426,1295.99999999949,1,-261.566582412494,0
"(js-onnx) / (wasm-onnx)","Chrome","guitar-lstm",1.00672000247361,0.00933980194771498,1295.99999999949,1,0.721913732194378,0.470477745152758
"(wasm-bypass) / (js-bypass)","Firefox","guitar-lstm",0.983956737970532,0.00912861673075283,1295.99999999961,1,-1.74329535098503,0.0815191773097165
"(wasm-bypass) / (js-onnx)","Firefox","guitar-lstm",0.128894477529598,0.00119581302578932,1295.99999999961,1,-220.832187339745,0
"(wasm-bypass) / (wasm-onnx)","Firefox","guitar-lstm",0.118099353009935,0.00109566171781209,1295.99999999961,1,-230.260182234113,0
"(js-bypass) / (js-onnx)","Firefox","guitar-lstm",0.130996081997924,0.00121531057173884,1295.99999999998,1,-219.088891988773,0
"(js-bypass) / (wasm-onnx)","Firefox","guitar-lstm",0.120024944646979,0.00111352631221561,1295.99999999998,1,-228.516886883142,0
"(js-onnx) / (wasm-onnx)","Firefox","guitar-lstm",0.916248355037679,0.00850045509172753,1295.99999999998,1,-9.42799489436922,3.71240007265526e-20
"(wasm-bypass) / (js-bypass)","Safari","guitar-lstm",0.977884191729065,0.00907227894161953,1296.00000000073,1,-2.41057741717846,0.0160657866188031
"(wasm-bypass) / (js-onnx)","Safari","guitar-lstm",0.126109738852215,0.00116997773130898,1296.00000000073,1,-223.18645250406,0
"(wasm-bypass) / (wasm-onnx)","Safari","guitar-lstm",0.140134631051667,0.00130009307138273,1296.00000000073,1,-211.82006890932,0
"(js-bypass) / (js-onnx)","Safari","guitar-lstm",0.128961834048295,0.00119643792302284,1295.99999999986,1,-220.77587508684,0
"(js-bypass) / (wasm-onnx)","Safari","guitar-lstm",0.143303912914152,0.00132949594888551,1295.99999999974,1,-209.409491492102,0
"(js-onnx) / (wasm-onnx)","Safari","guitar-lstm",1.11121180907279,0.0103092202332329,1295.99999999974,1,11.3663835947375,2.64344090983394e-28
"(wasm-bypass) / (js-bypass)","Chrome","steerable-nafx",0.959093178924017,0.0088979461206119,1296.00000000073,1,-4.50199277434682,1.46736781803505e-05
"(wasm-bypass) / (js-onnx)","Chrome","steerable-nafx",0.00367416666196928,3.4086924727197e-05,1296.00000000073,1,-604.306620050261,0
"(wasm-bypass) / (wasm-onnx)","Chrome","steerable-nafx",0.00367934588698135,3.41349747666681e-05,1296.00000000073,1,-604.154785348886,0
"(js-bypass) / (js-onnx)","Chrome","steerable-nafx",0.00383087560490342,3.55407852711921e-05,1295.99999999986,1,-599.8046272758,0
"(js-bypass) / (wasm-onnx)","Chrome","steerable-nafx",0.00383627573194621,3.55908847198453e-05,1295.99999999986,1,-599.652792574426,0
"(js-onnx) / (wasm-onnx)","Chrome","steerable-nafx",1.00140963257483,0.00929053521714191,1295.99999999974,1,0.151834701375959,0.879340943441783
"(wasm-bypass) / (js-bypass)","Firefox","steerable-nafx",0.952024388280949,0.00883236571647571,1295.99999999961,1,-5.29936429766077,2.72887159710993e-07
"(wasm-bypass) / (js-onnx)","Firefox","steerable-nafx",0.00647686959762792,6.00888818483618e-05,1295.99999999961,1,-543.200334843039,0
"(wasm-bypass) / (wasm-onnx)","Firefox","steerable-nafx",0.00632743667828594,5.87025243033704e-05,1295.99999999974,1,-545.716336783658,0
"(js-bypass) / (js-onnx)","Firefox","steerable-nafx",0.00680326016576431,6.3116956443584e-05,1295.99999999998,1,-537.900970545409,0
"(js-bypass) / (wasm-onnx)","Firefox","steerable-nafx",0.00664629683459187,6.16607358235485e-05,1295.99999999998,1,-540.41697248603,0
"(js-onnx) / (wasm-onnx)","Firefox","steerable-nafx",0.97692821862637,0.00906340994187473,1295.99999999998,1,-2.51600194061853,0.0119895004103788
"(wasm-bypass) / (js-bypass)","Safari","steerable-nafx",0.756012425554933,0.00701387308024563,1295.99999999961,1,-30.1480734029455,1.94881684763231e-151
"(wasm-bypass) / (js-onnx)","Safari","steerable-nafx",0.00687943700057999,6.38236837842912e-05,1295.99999999961,1,-536.700761979449,0
"(wasm-bypass) / (wasm-onnx)","Safari","steerable-nafx",0.00677398839433747,6.28453888308317e-05,1295.99999999961,1,-538.365741453157,0
"(js-bypass) / (js-onnx)","Safari","steerable-nafx",0.00909963483143851,8.4421474603992e-05,1295.99999999998,1,-506.552688576527,0
"(js-bypass) / (wasm-onnx)","Safari","steerable-nafx",0.00896015484053081,8.31274549286649e-05,1295.99999999986,1,-508.217668050238,0
"(js-onnx) / (wasm-onnx)","Safari","steerable-nafx",0.984671913379885,0.00913525174015388,1295.99999999998,1,-1.66497947371575,0.0961585542524051
