"contrast","PP","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"(wasm-bypass) / (js-bypass)","wasm","Chrome","guitar-lstm",0.9808354157474,0.00794133387976402,1296.00000000023,1,-2.38999636468413,0.0339814056487165
"(wasm-bypass) / (js-onnx)","wasm","Chrome","guitar-lstm",0.0854427822078756,0.00069178748058527,1296.00000000023,1,-303.823672053292,0
"(wasm-bypass) / (wasm-onnx)","wasm","Chrome","guitar-lstm",0.086234577852111,0.000698198253967291,1296.00000000036,1,-302.684377974399,0
"(js-bypass) / (js-onnx)","wasm","Chrome","guitar-lstm",0.08711225230664,0.000705304345131335,1295.99999999974,1,-301.433675688577,0
"(js-bypass) / (wasm-onnx)","wasm","Chrome","guitar-lstm",0.0879195188791179,0.000711840378882865,1295.99999999974,1,-300.294381609685,0
"(js-onnx) / (wasm-onnx)","wasm","Chrome","guitar-lstm",1.00926696935394,0.00817152995168977,1295.99999999974,1,1.13929407889256,0.2547910474953
"(wasm-bypass) / (js-bypass)","js","Chrome","guitar-lstm",0.985692357820685,0.007980658110945,1295.99999999986,1,-1.77990285982061,0.150652231912011
"(wasm-bypass) / (js-onnx)","js","Chrome","guitar-lstm",0.0880873537783964,0.000713199254133943,1295.99999999986,1,-300.058830336221,0
"(wasm-bypass) / (wasm-onnx)","js","Chrome","guitar-lstm",0.0887622005920244,0.000718663151316563,1295.99999999986,1,-299.116211706589,0
"(js-bypass) / (js-onnx)","js","Chrome","guitar-lstm",0.0893659701016178,0.000723551571111647,1296.00000000011,1,-298.278927476418,0
"(js-bypass) / (wasm-onnx)","js","Chrome","guitar-lstm",0.0900506125341918,0.000729094778522425,1296.00000000011,1,-297.336308846787,0
"(js-onnx) / (wasm-onnx)","js","Chrome","guitar-lstm",1.00766110894108,0.00815852810296104,1296.00000000011,1,0.942618629631217,0.346051683494601
"(wasm-bypass) / (js-bypass)","wasm","Firefox","guitar-lstm",0.994556699189129,0.00805242825025751,1295.99999999998,1,-0.674139393298887,0.500342917731061
"(wasm-bypass) / (js-onnx)","wasm","Firefox","guitar-lstm",0.124735572953117,0.00100992155829693,1295.99999999998,1,-257.093709064494,0
"(wasm-bypass) / (wasm-onnx)","wasm","Firefox","guitar-lstm",0.114173768379771,0.000924407908256211,1295.99999999998,1,-268.021209725131,0
"(js-bypass) / (js-onnx)","wasm","Firefox","guitar-lstm",0.125418262281894,0.00101544895240291,1296.00000000011,1,-256.419569671203,0
"(js-bypass) / (wasm-onnx)","wasm","Firefox","guitar-lstm",0.114798651975154,0.000929467278245533,1296.00000000011,1,-267.347070331841,0
"(js-onnx) / (wasm-onnx)","wasm","Firefox","guitar-lstm",0.91532644358546,0.00741094049091856,1296.00000000011,1,-10.9275006606369,2.37809113825025e-26
"(wasm-bypass) / (js-bypass)","js","Firefox","guitar-lstm",0.953826558109895,0.00772265666566009,1295.99999999998,1,-5.83874876287487,6.64046915909656e-09
"(wasm-bypass) / (js-onnx)","js","Firefox","guitar-lstm",0.12933287917877,0.0010471436478537,1296.00000000011,1,-252.623449142058,0
"(wasm-bypass) / (wasm-onnx)","js","Firefox","guitar-lstm",0.118759537856484,0.000961536590525943,1296.00000000011,1,-263.157480099806,0
"(js-bypass) / (js-onnx)","js","Firefox","guitar-lstm",0.135593707345554,0.0010978344426986,1295.99999999998,1,-246.784700379183,0
"(js-bypass) / (wasm-onnx)","js","Firefox","guitar-lstm",0.124508525000414,0.00100808326456261,1296.00000000011,1,-257.318731336932,0
"(js-onnx) / (wasm-onnx)","js","Firefox","guitar-lstm",0.918247073834403,0.00743458737353906,1295.99999999998,1,-10.5340309577477,1.18744133901674e-24
"(wasm-bypass) / (js-bypass)","wasm","Safari","guitar-lstm",0.983263380219159,0.00796099189395201,1295.99999999998,1,-2.08463653958024,0.0372976870655032
"(wasm-bypass) / (js-onnx)","wasm","Safari","guitar-lstm",0.110610617388343,0.000895558856485996,1295.99999999998,1,-271.937159774379,0
"(wasm-bypass) / (wasm-onnx)","wasm","Safari","guitar-lstm",0.119645883768934,0.000968712890148425,1295.99999999998,1,-262.239101408259,0
"(js-bypass) / (js-onnx)","wasm","Safari","guitar-lstm",0.112493376254579,0.000910802613523938,1295.99999999998,1,-269.8525232348,0
"(js-bypass) / (wasm-onnx)","wasm","Safari","guitar-lstm",0.121682436441665,0.000985201838730641,1295.99999999998,1,-260.15446486868,0
"(js-onnx) / (wasm-onnx)","wasm","Safari","guitar-lstm",1.08168534444456,0.00875786532089743,1295.99999999998,1,9.6980583661205,3.24171502936879e-21
"(wasm-bypass) / (js-bypass)","js","Safari","guitar-lstm",0.963377085967917,0.00779998251384118,1295.99999999986,1,-4.6082097097841,4.46197662741238e-06
"(wasm-bypass) / (js-onnx)","js","Safari","guitar-lstm",0.133703237094534,0.00108252825043428,1295.99999999986,1,-248.518816737392,0
"(wasm-bypass) / (wasm-onnx)","js","Safari","guitar-lstm",0.141991313751668,0.00114963266254937,1295.99999999986,1,-241.090521794025,0
"(js-bypass) / (js-onnx)","js","Safari","guitar-lstm",0.138785984265134,0.00112368071257021,1296.00000000011,1,-243.910607027616,0
"(js-bypass) / (wasm-onnx)","js","Safari","guitar-lstm",0.147389133310148,0.00119333610825327,1296.00000000011,1,-236.482312084249,0
"(js-onnx) / (wasm-onnx)","js","Safari","guitar-lstm",1.0619886013027,0.0085983906413312,1296.00000000011,1,7.42829494336619,3.97641774577112e-13
"(wasm-bypass) / (js-bypass)","wasm","Chrome","steerable-nafx",0.944402550188931,0.00764635518614138,1296.00000000011,1,-7.06512368395188,5.22508364276478e-12
"(wasm-bypass) / (js-onnx)","wasm","Chrome","steerable-nafx",0.00359304891224701,2.90911202841663e-05,1296.00000000011,1,-695.208324953169,0
"(wasm-bypass) / (wasm-onnx)","wasm","Chrome","steerable-nafx",0.00360082523446939,2.91540812765337e-05,1296.00000000011,1,-694.941304665047,0
"(js-bypass) / (js-onnx)","wasm","Chrome","steerable-nafx",0.00380457349625772,3.08037290648426e-05,1295.99999999998,1,-688.143201269219,0
"(js-bypass) / (wasm-onnx)","wasm","Chrome","steerable-nafx",0.00381280761445322,3.08703966022765e-05,1295.99999999998,1,-687.876180981096,0
"(js-onnx) / (wasm-onnx)","wasm","Chrome","steerable-nafx",1.00216426840054,0.00811402293388245,1295.99999999998,1,0.267020288121712,0.789496022253765
"(wasm-bypass) / (js-bypass)","js","Chrome","steerable-nafx",0.957276140994465,0.00775058621326069,1295.99999999986,1,-5.39287110711262,1.64660279991606e-07
"(wasm-bypass) / (js-onnx)","js","Chrome","steerable-nafx",0.00372395227243504,3.01509793314096e-05,1295.99999999998,1,-690.78858529201,0
"(wasm-bypass) / (wasm-onnx)","js","Chrome","steerable-nafx",0.00373467924049217,3.02378302275862e-05,1295.99999999998,1,-690.433321608838,0
"(js-bypass) / (js-onnx)","js","Chrome","steerable-nafx",0.00389015469305066,3.14966372191062e-05,1296.00000000011,1,-685.395714184921,0
"(js-bypass) / (wasm-onnx)","js","Chrome","steerable-nafx",0.00390136041269387,3.15873643274684e-05,1296.00000000011,1,-685.040450501748,0
"(js-onnx) / (wasm-onnx)","js","Chrome","steerable-nafx",1.00288053317346,0.0081198221715696,1296.00000000011,1,0.355263683168437,0.722449868515666
"(wasm-bypass) / (js-bypass)","wasm","Firefox","steerable-nafx",0.953816640388522,0.00772257636682981,1295.99999999998,1,-5.84003300654418,1.31815730884161e-08
"(wasm-bypass) / (js-onnx)","wasm","Firefox","steerable-nafx",0.00647659680001892,5.24377655698464e-05,1295.99999999986,1,-622.436871767727,0
"(wasm-bypass) / (wasm-onnx)","wasm","Firefox","steerable-nafx",0.00637857712179349,5.16441492514734e-05,1295.99999999986,1,-624.32041855032,0
"(js-bypass) / (js-onnx)","wasm","Firefox","steerable-nafx",0.00679019061502301,5.4976777872616e-05,1296.00000000011,1,-616.596838761203,0
"(js-bypass) / (wasm-onnx)","wasm","Firefox","steerable-nafx",0.0066874248694123,5.41447350199671e-05,1296.00000000011,1,-618.480385543795,0
"(js-onnx) / (wasm-onnx)","wasm","Firefox","steerable-nafx",0.984865558062046,0.00797396392675253,1295.99999999998,1,-1.88354678259159,0.0598500447151683
"(wasm-bypass) / (js-bypass)","js","Firefox","steerable-nafx",0.982337948512675,0.00795349913620057,1296.00000000011,1,-2.20093705753082,0.0558326017337912
"(wasm-bypass) / (js-onnx)","js","Firefox","steerable-nafx",0.0065988033436891,5.34272108427172e-05,1295.99999999998,1,-620.128079825845,0
"(wasm-bypass) / (wasm-onnx)","js","Firefox","steerable-nafx",0.00648917479220385,5.25396032827513e-05,1296.00000000011,1,-622.197239239937,0
"(js-bypass) / (js-onnx)","js","Firefox","steerable-nafx",0.00671744724275401,5.43878111637742e-05,1296.00000000011,1,-617.92714276832,0
"(js-bypass) / (wasm-onnx)","js","Firefox","steerable-nafx",0.0066058476128596,5.3484244767597e-05,1296.00000000011,1,-619.99630218241,0
"(js-onnx) / (wasm-onnx)","js","Firefox","steerable-nafx",0.983386601210038,0.00796198955269648,1296.00000000011,1,-2.06915941408685,0.0558326017337912
"(wasm-bypass) / (js-bypass)","wasm","Safari","steerable-nafx",0.948772983979695,0.00768174040304398,1295.99999999986,1,-6.49487129622451,2.36295329902231e-10
"(wasm-bypass) / (js-onnx)","wasm","Safari","steerable-nafx",0.00683925412519786,5.53740205795552e-05,1295.99999999998,1,-615.707606915153,0
"(wasm-bypass) / (wasm-onnx)","wasm","Safari","steerable-nafx",0.00674642601237314,5.46224377701113e-05,1295.99999999986,1,-617.395471395173,0
"(js-bypass) / (js-onnx)","wasm","Safari","steerable-nafx",0.00720852536979934,5.83638251874365e-05,1296.00000000011,1,-609.212735618948,0
"(js-bypass) / (wasm-onnx)","wasm","Safari","steerable-nafx",0.00711068519686846,5.75716622336692e-05,1296.00000000011,1,-610.900600098969,0
"(js-onnx) / (wasm-onnx)","wasm","Safari","steerable-nafx",0.986427158411512,0.00798660742388036,1296.00000000011,1,-1.68786448002069,0.091677850409265
"(wasm-bypass) / (js-bypass)","js","Safari","steerable-nafx",0.909300395647828,0.00736215059418375,1296.00000000011,1,-11.7433177177923,4.95106675363873e-30
"(wasm-bypass) / (js-onnx)","js","Safari","steerable-nafx",0.00684938135440989,5.54560156902095e-05,1295.99999999998,1,-615.524854452022,0
"(wasm-bypass) / (wasm-onnx)","js","Safari","steerable-nafx",0.00673614973898887,5.45392359233236e-05,1296.00000000011,1,-617.583747646846,0
"(js-bypass) / (js-onnx)","js","Safari","steerable-nafx",0.00753258371732047,6.09875635770508e-05,1296.00000000011,1,-603.781536734231,0
"(js-bypass) / (wasm-onnx)","js","Safari","steerable-nafx",0.00740805763555147,5.99793381641126e-05,1296.00000000011,1,-605.840429929066,0
"(js-onnx) / (wasm-onnx)","js","Safari","steerable-nafx",0.983468344137661,0.00796265138430473,1295.99999999998,1,-2.05889319483659,0.0397039391913512
