Environment,Model,Buffer.Size,It0_First_Rep,It0_Later_Reps,Steady,Ratio_First,Ratio_Later
Chrome,guitar-lstm,128,0.036015625,0.014236111111111109,0.01254296875,2.871379632513236,1.1349873698051836
Chrome,guitar-lstm,1024,0.0126171875,0.012093641493055555,0.011507568359375001,1.0964251617693856,1.05092936364815
Chrome,guitar-lstm,8192,0.0118792724609375,0.011814643012152778,0.011525115966796876,1.0307291046060556,1.025121399749036
Chrome,steerable-nafx,128,0.339296875,0.2870920138888889,0.27675390625,1.2259876639049245,1.037354875235438
Chrome,steerable-nafx,1024,0.0385498046875,0.03837727864583333,0.0371429443359375,1.0378769205488458,1.0332319995618
Chrome,steerable-nafx,8192,0.007418212890625,0.007544216579861112,0.0072538299560546875,1.0226615368110614,1.0400321796300231
Firefox,guitar-lstm,128,0.02921875,0.00829861111111111,0.0074453125,3.9244491080797483,1.1146088375889005
Firefox,guitar-lstm,1024,0.011171875,0.006193576388888889,0.00610009765625,1.8314255983350676,1.015324137072316
Firefox,guitar-lstm,8192,0.0073974609375,0.006123046875,0.0060610961914062495,1.2204823523488244,1.010221036201601
Firefox,steerable-nafx,128,0.17609375,0.136875,0.1361796875,1.293098502667661,1.005105845906718
Firefox,steerable-nafx,1024,0.02328125,0.01843315972222222,0.018366699218749998,1.267579423102486,1.0036185327957228
Firefox,steerable-nafx,8192,0.00443115234375,0.003663736979166667,0.00365008544921875,1.213985920438774,1.003740057633675
Native,guitar-lstm,128,0.01054921875,0.004292881944444445,0.0040690429687500005,2.5925552595579235,1.055010226584854
Native,guitar-lstm,1024,0.00327177734375,0.003352560763888889,0.00327349365234375,0.9994756951514108,1.0241537390758428
Native,guitar-lstm,8192,0.00334595947265625,0.003237136501736111,0.0032069552612304687,1.043344605740601,1.0094111822732637
Native,steerable-nafx,128,0.08725234375,0.07593958333333334,0.07460650390625,1.169500501720878,1.017868139602929
Native,steerable-nafx,1024,0.0101396484375,0.010211859809027777,0.01001833984375,1.0121086522958869,1.0193165702397795
Native,steerable-nafx,8192,0.00198228759765625,0.001992081705729167,0.0019567788696289064,1.013036081093916,1.0180413007561533
Safari,guitar-lstm,128,0.04953125,0.010277777777777778,0.00715234375,6.925177498634626,1.436980399296074
Safari,guitar-lstm,1024,0.01435546875,0.006089409722222222,0.00549609375,2.6119402985074625,1.1079523019821527
Safari,guitar-lstm,8192,0.00787109375,0.005597601996527778,0.00529315185546875,1.4870334282716235,1.0575177416730408
Safari,steerable-nafx,128,0.19484375,0.14375,0.135234375,1.440785673021375,1.0629693818601964
Safari,steerable-nafx,1024,0.02630859375,0.01963758680555556,0.018240234375,1.4423385801477675,1.0766082497531262
Safari,steerable-nafx,8192,0.00465576171875,0.0038338216145833337,0.0035938720703125003,1.2954723005332698,1.0667663009635089
