"contrast","Buffer.Size","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"(wasm-bypass wasm) / (js-bypass wasm)","128","Chrome","guitar-lstm",0.955190384218287,0.0293305851247768,1295.99999999998,1,-1.49299183523694,1
"(wasm-bypass wasm) / (js-onnx wasm)","128","Chrome","guitar-lstm",0.0961761297529909,0.00295323550917051,1295.99999999998,1,-76.2565437764683,0
"(wasm-bypass wasm) / (wasm-onnx wasm)","128","Chrome","guitar-lstm",0.0982835098423337,0.00301794584558301,1295.99999999986,1,-75.5506658374476,0
"(wasm-bypass wasm) / (wasm-bypass js)","128","Chrome","guitar-lstm",0.950912609719967,0.0291992295006622,1295.99999999961,1,-1.63916628351161,1
"(wasm-bypass wasm) / (js-bypass js)","128","Chrome","guitar-lstm",0.918653356979771,0.0282086596894589,1295.99999999974,1,-2.76313914911425,0.0696699697805027
"(wasm-bypass wasm) / (js-onnx js)","128","Chrome","guitar-lstm",0.0964392950275905,0.0029613164023789,1296.00000000011,1,-76.1675546383942,0
"(wasm-bypass wasm) / (wasm-onnx js)","128","Chrome","guitar-lstm",0.100646068444261,0.0030904918294319,1296.00000000011,1,-74.777090067353,0
"(js-bypass wasm) / (js-onnx wasm)","128","Chrome","guitar-lstm",0.100687916610153,0.00309177684152187,1296.00000000011,1,-74.7635519412323,0
"(js-bypass wasm) / (wasm-onnx wasm)","128","Chrome","guitar-lstm",0.102894157506378,0.00315952285057058,1295.99999999998,1,-74.0576740022118,0
"(js-bypass wasm) / (wasm-bypass js)","128","Chrome","guitar-lstm",0.995521547778331,0.0305690153325374,1296.00000000023,1,-0.146174448274686,1
"(js-bypass wasm) / (js-bypass js)","128","Chrome","guitar-lstm",0.961748958278703,0.0295319761960796,1296.00000000011,1,-1.27014731387733,1
"(js-bypass wasm) / (js-onnx js)","128","Chrome","guitar-lstm",0.100963427418205,0.00310023682326153,1295.99999999998,1,-74.6745628031582,0
"(js-bypass wasm) / (wasm-onnx js)","128","Chrome","guitar-lstm",0.105367547775964,0.00323547209068805,1295.99999999998,1,-73.284098232117,0
"(js-onnx wasm) / (wasm-onnx wasm)","128","Chrome","guitar-lstm",1.02191167491097,0.031379364644158,1295.99999999998,1,0.705877939020151,1
"(js-onnx wasm) / (wasm-bypass js)","128","Chrome","guitar-lstm",9.88719978816152,0.303601627302466,1296.00000000023,1,74.6173774929583,0
"(js-onnx wasm) / (js-bypass js)","128","Chrome","guitar-lstm",9.55178129270899,0.293302088178292,1295.99999999998,1,73.4934046273546,0
"(js-onnx wasm) / (js-onnx js)","128","Chrome","guitar-lstm",1.00273628472341,0.0307905548911605,1295.99999999998,1,0.0889891380735789,1
"(js-onnx wasm) / (wasm-onnx js)","128","Chrome","guitar-lstm",1.04647659146558,0.0321336680667975,1295.99999999998,1,1.4794537091148,1
"(wasm-onnx wasm) / (wasm-bypass js)","128","Chrome","guitar-lstm",9.67519995211221,0.297091847325178,1296.00000000011,1,73.9114995539379,0
"(wasm-onnx wasm) / (js-bypass js)","128","Chrome","guitar-lstm",9.34697344909104,0.287013149354464,1295.99999999998,1,72.7875266883342,0
"(wasm-onnx wasm) / (js-onnx js)","128","Chrome","guitar-lstm",0.981235765616208,0.0301303484900916,1295.99999999998,1,-0.61688880094657,1
"(wasm-onnx wasm) / (wasm-onnx js)","128","Chrome","guitar-lstm",1.02403819934512,0.0314446628370275,1295.99999999998,1,0.77357577009465,1
"(wasm-bypass js) / (js-bypass js)","128","Chrome","guitar-lstm",0.96607548116362,0.0296648287141397,1296.00000000011,1,-1.12397286560265,1
"(wasm-bypass js) / (js-onnx js)","128","Chrome","guitar-lstm",0.101417621390036,0.00311418354547944,1295.99999999998,1,-74.5283883548843,0
"(wasm-bypass js) / (wasm-onnx js)","128","Chrome","guitar-lstm",0.105841554119154,0.00325002718214237,1295.99999999986,1,-73.1379237838431,0
"(js-bypass js) / (js-onnx js)","128","Chrome","guitar-lstm",0.104978982871897,0.00322354060961002,1295.99999999998,1,-73.4044154892808,0
"(js-bypass js) / (wasm-onnx js)","128","Chrome","guitar-lstm",0.109558265562924,0.00336415450501633,1295.99999999998,1,-72.0139509182395,0
"(js-onnx js) / (wasm-onnx js)","128","Chrome","guitar-lstm",1.04362094741016,0.0320459811381627,1295.99999999998,1,1.39046457104122,1
"(wasm-bypass wasm) / (js-bypass wasm)","1024","Chrome","guitar-lstm",0.989457742702775,0.0303828169014319,1296.00000000011,1,-0.34514546246914,1
"(wasm-bypass wasm) / (js-onnx wasm)","1024","Chrome","guitar-lstm",0.0823283855561068,0.0025280192939913,1296.00000000011,1,-81.3194808181937,0
"(wasm-bypass wasm) / (wasm-onnx wasm)","1024","Chrome","guitar-lstm",0.08543584261837,0.0026234385270491,1295.99999999998,1,-80.1129048836124,0
"(wasm-bypass wasm) / (wasm-bypass js)","1024","Chrome","guitar-lstm",0.990788592551992,0.0304236826863432,1296.00000000011,1,-0.301372179724477,1
"(wasm-bypass wasm) / (js-bypass js)","1024","Chrome","guitar-lstm",0.980224751942124,0.0300993037652699,1296.00000000011,1,-0.65046076179179,1
"(wasm-bypass wasm) / (js-onnx js)","1024","Chrome","guitar-lstm",0.0822820044369049,0.00252659509062052,1295.99999999998,1,-81.3378328098198,0
"(wasm-bypass wasm) / (wasm-onnx js)","1024","Chrome","guitar-lstm",0.0845436212314356,0.00259604150152204,1296.00000000011,1,-80.454789353457,0
"(js-bypass wasm) / (js-onnx wasm)","1024","Chrome","guitar-lstm",0.0832055599779541,0.00255495427938727,1295.99999999998,1,-80.9743353557239,0
"(js-bypass wasm) / (wasm-onnx wasm)","1024","Chrome","guitar-lstm",0.0863461256920339,0.00265139016435711,1295.99999999998,1,-79.7677594211424,0
"(js-bypass wasm) / (wasm-bypass js)","1024","Chrome","guitar-lstm",1.00134502949624,0.0307478342665136,1295.99999999998,1,0.0437732827446621,1
"(js-bypass wasm) / (js-bypass js)","1024","Chrome","guitar-lstm",0.990668635594856,0.0304199992240717,1295.99999999998,1,-0.305315299322647,1
"(js-bypass wasm) / (js-onnx js)","1024","Chrome","guitar-lstm",0.083158684687378,0.00255351490172685,1295.99999999998,1,-80.9926873473499,0
"(js-bypass wasm) / (wasm-onnx js)","1024","Chrome","guitar-lstm",0.0854443980603947,0.00262370123501262,1295.99999999998,1,-80.109643890987,0
"(js-onnx wasm) / (wasm-onnx wasm)","1024","Chrome","guitar-lstm",1.03774466171386,0.0318655407770781,1295.99999999998,1,1.20657593458145,1
"(js-onnx wasm) / (wasm-bypass js)","1024","Chrome","guitar-lstm",12.0345927575219,0.369540620538585,1295.99999999998,1,81.0181086384684,0
"(js-onnx wasm) / (js-bypass js)","1024","Chrome","guitar-lstm",11.9062792901982,0.365600558810394,1295.99999999998,1,80.6690200564012,0
"(js-onnx wasm) / (js-onnx js)","1024","Chrome","guitar-lstm",0.999436632713145,0.0306892340175756,1295.99999999998,1,-0.018351991625926,1
"(js-onnx wasm) / (wasm-onnx js)","1024","Chrome","guitar-lstm",1.02690731344196,0.0315327633839348,1295.99999999998,1,0.864691464736825,1
"(wasm-onnx wasm) / (wasm-bypass js)","1024","Chrome","guitar-lstm",11.5968727197753,0.356099755722454,1295.99999999998,1,79.8115327038869,0
"(wasm-onnx wasm) / (js-bypass js)","1024","Chrome","guitar-lstm",11.4732262467481,0.352303001208985,1295.99999999998,1,79.4624441218197,0
"(wasm-onnx wasm) / (js-onnx js)","1024","Chrome","guitar-lstm",0.963085303722551,0.0295730107316492,1295.99999999998,1,-1.22492792620738,1
