"contrast","PP","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"(js-bypass) / (js-onnx)","wasm","Firefox","guitar-lstm",0.128347232914062,0.00227539431013481,1295.99999999998,1,-115.803626946682,0
"(js-bypass) / (wasm-onnx)","wasm","Firefox","guitar-lstm",0.118501256387804,0.00210084065239783,1295.99999999998,1,-120.305763183592,0
"(js-onnx) / (wasm-onnx)","wasm","Firefox","guitar-lstm",0.923286413717612,0.0163684140647153,1295.99999999998,1,-4.50213623690953,1.46639271698008e-05
"(wasm-bypass) / (js-bypass)","js","Firefox","guitar-lstm",0.948163251683692,0.0168094412242183,1295.99999999998,1,-3.00244295401821,0.00272951658310453
"(wasm-bypass) / (js-onnx)","js","Firefox","guitar-lstm",0.131439315408086,0.00233021206314457,1295.99999999998,1,-114.46081634968,0
"(wasm-bypass) / (wasm-onnx)","js","Firefox","guitar-lstm",0.120979414033763,0.00214477448469952,1295.99999999998,1,-119.138325237821,0
"(js-bypass) / (js-onnx)","js","Firefox","guitar-lstm",0.13862519473802,0.00245760638688192,1295.99999999998,1,-111.458373395662,0
"(js-bypass) / (wasm-onnx)","js","Firefox","guitar-lstm",0.127593443237686,0.00226203080628884,1295.99999999998,1,-116.135882283803,0
"(js-onnx) / (wasm-onnx)","js","Firefox","guitar-lstm",0.920420299346146,0.0163176023706494,1295.99999999998,1,-4.67750888813979,6.41548980475001e-06
"(wasm-bypass) / (js-bypass)","wasm","Safari","guitar-lstm",1.00436631098338,0.0178058329534293,1295.99999999998,1,0.245752584960568,0.805912675124948
"(wasm-bypass) / (js-onnx)","wasm","Safari","guitar-lstm",0.118496318263474,0.00210075310723033,1296.00000000011,1,-120.308113779396,0
"(wasm-bypass) / (wasm-onnx)","wasm","Safari","guitar-lstm",0.128204258930145,0.00227285960656452,1295.99999999998,1,-115.866496786994,0
"(js-bypass) / (js-onnx)","wasm","Safari","guitar-lstm",0.117981175759921,0.0020916204419217,1295.99999999998,1,-120.553866364356,0
"(js-bypass) / (wasm-onnx)","wasm","Safari","guitar-lstm",0.127646912812735,0.00226297873764718,1295.99999999998,1,-116.112249371954,0
"(js-onnx) / (wasm-onnx)","wasm","Safari","guitar-lstm",1.08192609533307,0.0191808457838401,1295.99999999998,1,4.44161699240219,1.93780254430919e-05
"(wasm-bypass) / (js-bypass)","js","Safari","guitar-lstm",0.951841594089733,0.0168746524421886,1295.99999999998,1,-2.78404034310598,0.00544669177981319
"(wasm-bypass) / (js-onnx)","js","Safari","guitar-lstm",0.138361210930591,0.00245292636971479,1295.99999999998,1,-111.565890807903,0
"(wasm-bypass) / (wasm-onnx)","js","Safari","guitar-lstm",0.147551340439998,0.00261585289271283,1295.99999999998,1,-107.938470467696,0
"(js-bypass) / (js-onnx)","js","Safari","guitar-lstm",0.145361593556866,0.00257703212902835,1295.99999999998,1,-108.781850464796,0
"(js-bypass) / (wasm-onnx)","js","Safari","guitar-lstm",0.155016697480115,0.00274820191611235,1295.99999999998,1,-105.15443012459,0
"(js-onnx) / (wasm-onnx)","js","Safari","guitar-lstm",1.06642128561608,0.018905969925524,1295.99999999998,1,3.62742034020653,0.000594772802008497
"(wasm-bypass) / (js-bypass)","wasm","Chrome","steerable-nafx",0.959931039741135,0.0170180655738114,1296.00000000011,1,-2.3066815235756,0.0424593319298688
"(wasm-bypass) / (js-onnx)","wasm","Chrome","steerable-nafx",0.00397786169691714,7.05212232953152e-05,1295.99999999998,1,-311.759833359827,0
"(wasm-bypass) / (wasm-onnx)","wasm","Chrome","steerable-nafx",0.00401263242504892,7.11376535459251e-05,1296.00000000011,1,-311.268922399943,0
"(js-bypass) / (js-onnx)","wasm","Chrome","steerable-nafx",0.00414390360581511,7.34648848466585e-05,1295.99999999998,1,-309.45315183625,0
"(js-bypass) / (wasm-onnx)","wasm","Chrome","steerable-nafx",0.00418012571625041,7.41070458197801e-05,1295.99999999998,1,-308.962240876366,0
"(js-onnx) / (wasm-onnx)","wasm","Chrome","steerable-nafx",1.00874106009234,0.0178833903654965,1295.99999999998,1,0.490910959883715,0.623572537222202
"(wasm-bypass) / (js-bypass)","js","Chrome","steerable-nafx",0.9591947108182,0.0170050116216257,1295.99999999998,1,-2.34996561306801,0.0378489440541634
"(wasm-bypass) / (js-onnx)","js","Chrome","steerable-nafx",0.00398533079536968,7.06536386480653e-05,1295.99999999998,1,-311.654019895019,0
"(wasm-bypass) / (wasm-onnx)","js","Chrome","steerable-nafx",0.00403496621785135,7.15335965196273e-05,1295.99999999998,1,-310.955841101092,0
"(js-bypass) / (js-onnx)","js","Chrome","steerable-nafx",0.00415487152965029,7.36593288632685e-05,1295.99999999998,1,-309.30405428195,0
"(js-bypass) / (wasm-onnx)","js","Chrome","steerable-nafx",0.00420661850231586,7.45767211941866e-05,1295.99999999998,1,-308.605875488024,0
"(js-onnx) / (wasm-onnx)","js","Chrome","steerable-nafx",1.01245453013319,0.0179492243411107,1295.99999999998,1,0.698178793927405,0.485190635119116
"(wasm-bypass) / (js-bypass)","wasm","Firefox","steerable-nafx",0.963039492373914,0.0170731735436006,1295.99999999998,1,-2.12432057567556,0.0676644698018284
"(wasm-bypass) / (js-onnx)","wasm","Firefox","steerable-nafx",0.00724731360098947,0.000128483456612545,1295.99999999998,1,-277.922284623012,0
"(wasm-bypass) / (wasm-onnx)","wasm","Firefox","steerable-nafx",0.00719685527739476,0.000127588910000206,1295.99999999998,1,-278.31638047582,0
"(js-bypass) / (js-onnx)","wasm","Firefox","steerable-nafx",0.00752545836217441,0.000133414525188194,1295.99999999998,1,-275.797964047336,0
"(js-bypass) / (wasm-onnx)","wasm","Firefox","steerable-nafx",0.00747306349779525,0.000132485646757535,1295.99999999998,1,-276.192059900144,0
"(js-onnx) / (wasm-onnx)","wasm","Firefox","steerable-nafx",0.993037651415026,0.0176049936603801,1295.99999999998,1,-0.394095852808146,0.693575106774277
"(wasm-bypass) / (js-bypass)","js","Firefox","steerable-nafx",0.97302111930272,0.0172501320693438,1295.99999999998,1,-1.54269155182883,0.246299514098911
"(wasm-bypass) / (js-onnx)","js","Firefox","steerable-nafx",0.00726607782986995,0.000128816116839488,1295.99999999998,1,-277.776429431073,0
"(wasm-bypass) / (wasm-onnx)","js","Firefox","steerable-nafx",0.00720936607262505,0.000127810706696837,1295.99999999998,1,-278.218410098756,0
"(js-bypass) / (js-onnx)","js","Firefox","steerable-nafx",0.00746754380323926,0.000132387791265824,1295.99999999998,1,-276.233737879248,0
"(js-bypass) / (wasm-onnx)","js","Firefox","steerable-nafx",0.00740925960352369,0.00013135450419455,1296.00000000011,1,-276.675718546931,0
"(js-onnx) / (wasm-onnx)","js","Firefox","steerable-nafx",0.99219499727738,0.0175900547295851,1295.99999999998,1,-0.441980667678464,0.658576935591422
"(wasm-bypass) / (js-bypass)","wasm","Safari","steerable-nafx",0.973118296790759,0.0172518548731654,1295.99999999998,1,-1.53705839868426,0.249046202390604
"(wasm-bypass) / (js-onnx)","wasm","Safari","steerable-nafx",0.00838248460626836,0.000148608250796234,1295.99999999998,1,-269.714364324336,0
"(wasm-bypass) / (wasm-onnx)","wasm","Safari","steerable-nafx",0.00829216322297281,0.000147006994914295,1295.99999999998,1,-270.32544421944,0
"(js-bypass) / (js-onnx)","wasm","Safari","steerable-nafx",0.00861404480206867,0.000152713448391966,1295.99999999998,1,-268.177305925653,0
"(js-bypass) / (wasm-onnx)","wasm","Safari","steerable-nafx",0.00852122835457877,0.000151067958951249,1295.99999999998,1,-268.788385820756,0
"(js-onnx) / (wasm-onnx)","wasm","Safari","steerable-nafx",0.989224986679009,0.0175374011190387,1295.99999999998,1,-0.611079895103602,0.541253848704851
"(wasm-bypass) / (js-bypass)","js","Safari","steerable-nafx",0.904202215381697,0.0160300812832358,1296.00000000011,1,-5.68027070935398,3.31711853946629e-08
"(wasm-bypass) / (js-onnx)","js","Safari","steerable-nafx",0.00807366723869042,0.00014313340521442,1295.99999999998,1,-271.831673392058,0
"(wasm-bypass) / (wasm-onnx)","js","Safari","steerable-nafx",0.00795735146267837,0.00014107130968725,1295.99999999998,1,-272.650222917211,0
"(js-bypass) / (js-onnx)","js","Safari","steerable-nafx",0.00892905049484117,0.000158298003233712,1295.99999999998,1,-266.151402682702,0
"(js-bypass) / (wasm-onnx)","js","Safari","steerable-nafx",0.00880041137625314,0.000156017434250256,1295.99999999998,1,-266.969952207857,0
"(js-onnx) / (wasm-onnx)","js","Safari","steerable-nafx",0.985593191721522,0.0174730151140256,1295.99999999998,1,-0.818549525153214,0.413193954335666
