"contrast","PP","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"(wasm-bypass) / (js-bypass)","wasm","Chrome","guitar-lstm",0.979575101360464,0.0173663238495975,1295.99999999998,1,-1.16402733001804,0.310310622506957
"(wasm-bypass) / (js-onnx)","wasm","Chrome","guitar-lstm",0.0861279706275877,0.00152691327939021,1295.99999999986,1,-138.304504736365,0
"(wasm-bypass) / (wasm-onnx)","wasm","Chrome","guitar-lstm",0.0883274434032322,0.00156590646783199,1295.99999999998,1,-136.882120307907,0
"(js-bypass) / (js-onnx)","wasm","Chrome","guitar-lstm",0.0879238054417375,0.00155875060244957,1295.99999999998,1,-137.140477406346,0
"(js-bypass) / (wasm-onnx)","wasm","Chrome","guitar-lstm",0.0901691389262144,0.00159855682903456,1295.99999999998,1,-135.718092977888,0
"(js-onnx) / (wasm-onnx)","wasm","Chrome","guitar-lstm",1.0255372646031,0.018181160619735,1295.99999999998,1,1.42238442845775,0.310310622506957
"(wasm-bypass) / (js-bypass)","js","Chrome","guitar-lstm",0.986179340633679,0.0174834066111332,1295.99999999998,1,-0.78501354518182,0.432589101240033
"(wasm-bypass) / (js-onnx)","js","Chrome","guitar-lstm",0.088368347109609,0.00156663162612827,1295.99999999998,1,-136.856004930612,0
"(wasm-bypass) / (wasm-onnx)","js","Chrome","guitar-lstm",0.0908405728425063,0.00161046029495333,1295.99999999998,1,-135.299624038704,0
"(js-bypass) / (js-onnx)","js","Chrome","guitar-lstm",0.0896067717792861,0.00158858694517128,1295.99999999998,1,-136.070991385429,0
"(js-bypass) / (wasm-onnx)","js","Chrome","guitar-lstm",0.0921136441411719,0.00163302984416458,1295.99999999998,1,-134.514610493522,0
"(js-onnx) / (wasm-onnx)","js","Chrome","guitar-lstm",1.0279763717865,0.0182244021488348,1295.99999999998,1,1.55638089190745,0.239723391572422
"(wasm-bypass) / (js-bypass)","wasm","Firefox","guitar-lstm",0.994383540883645,0.0176288541610658,1296.00000000011,1,-0.317698311376813,0.750764970793451
"(wasm-bypass) / (js-onnx)","wasm","Firefox","guitar-lstm",0.127626375927703,0.00226261465101834,1296.00000000011,1,-116.121325258059,0
"(wasm-bypass) / (wasm-onnx)","wasm","Firefox","guitar-lstm",0.117835698926065,0.00208904136676365,1295.99999999998,1,-120.623461494969,0
