"Backend","PP","Buffer.Size","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"wasm-bypass","wasm","128","Chrome","guitar-lstm",0.00128429559630245,2.78856505507027e-05,1295.99999999974,0.00123073839635619,0.00134018340824114
"js-bypass","wasm","128","Chrome","guitar-lstm",0.00134454410086373,2.9193814145777e-05,1295.99999999998,0.00128847444100205,0.00140305370571535
"js-onnx","wasm","128","Chrome","guitar-lstm",0.0133535795170892,0.000289943571469559,1295.99999999998,0.0127967136909865,0.0139346780919874
"wasm-onnx","wasm","128","Chrome","guitar-lstm",0.0130672540934153,0.000283726645450861,1295.99999999998,0.0125223284997711,0.013635892840936
"wasm-bypass","js","128","Chrome","guitar-lstm",0.0013505926655875,2.93251454083813e-05,1296.00000000023,0.00129427077081103,0.00140936548168796
"js-bypass","js","128","Chrome","guitar-lstm",0.00139801981513984,3.03549215150979e-05,1295.99999999998,0.00133972013165276,0.00145885648602779
"js-onnx","js","128","Chrome","guitar-lstm",0.0133171400302649,0.00028915236826155,1295.99999999998,0.0127617937895968,0.0138966528929699
"wasm-onnx","js","128","Chrome","guitar-lstm",0.0127605143067631,0.000277066466497352,1295.99999999998,0.0122283802574741,0.013315804869053
"wasm-bypass","wasm","1024","Chrome","guitar-lstm",0.000993809839022454,2.15783920497868e-05,1296.00000000011,0.000952366364163297,0.00103705678119527
"js-bypass","wasm","1024","Chrome","guitar-lstm",0.00100439846608082,2.18083007676955e-05,1295.99999999998,0.000962513428377284,0.00104810618628591
"js-onnx","wasm","1024","Chrome","guitar-lstm",0.0120712902640994,0.00026210148424545,1295.99999999998,0.0115678979701874,0.0125965883357268
"wasm-onnx","wasm","1024","Chrome","guitar-lstm",0.0116322354712607,0.000252568376321574,1295.99999999998,0.0111471524710932,0.0121384274961466
"wasm-bypass","js","1024","Chrome","guitar-lstm",0.00100304933513887,2.17790073603971e-05,1295.99999999998,0.00096122055837388,0.0010466983461367
"js-bypass","js","1024","Chrome","guitar-lstm",0.00101385915531455,2.20137187997281e-05,1295.99999999998,0.000971579591595058,0.00105797856985406
"js-onnx","js","1024","Chrome","guitar-lstm",0.0120780946675226,0.000262249226880878,1295.99999999998,0.0115744186190018,0.0126036888417139
"wasm-onnx","js","1024","Chrome","guitar-lstm",0.0117549949309828,0.000255233827644041,1295.99999999998,0.0112647926631416,0.0122665289952079
"wasm-bypass","wasm","8192","Chrome","guitar-lstm",0.000950629246279058,2.0640820572254e-05,1296.00000000011,0.000910986471855232,0.000991997128168879
"js-bypass","wasm","8192","Chrome","guitar-lstm",0.000955839890277171,2.07539582316013e-05,1295.99999999998,0.000915979823585693,0.000997434520193447
"js-onnx","wasm","8192","Chrome","guitar-lstm",0.0117813599188062,0.000255806285292681,1295.99999999998,0.0112900581884048,0.0122940412901509
"wasm-onnx","wasm","8192","Chrome","guitar-lstm",0.0115836374206567,0.000251513176677121,1295.99999999998,0.0111005810376641,0.0120877146374558
"wasm-bypass","js","8192","Chrome","guitar-lstm",0.000966959837188148,2.09954033900171e-05,1295.99999999998,0.00092663605075659,0.00100903836621886
"js-bypass","js","8192","Chrome","guitar-lstm",0.000963599269564967,2.09224360648454e-05,1295.99999999998,0.000923415624229156,0.00100553155907585
"js-onnx","js","8192","Chrome","guitar-lstm",0.0118019977171436,0.000256254389634257,1295.99999999998,0.0113098353572304,0.0123155771694251
