"Environment","Model","Mean","SE","CI_Lower","CI_Upper"
"Native","guitar-lstm",0.000591612548828125,6.59316365328451e-05,0.000456767211436831,0.000726457886219419
"Native","steerable-nafx",0.000397801025390625,8.58257991035807e-05,0.000222267557004255,0.000573334493776995
"Chrome","guitar-lstm",0.00111170654296875,3.58342785600343e-05,0.00103841721425333,0.00118499587168417
"Chrome","steerable-nafx",0.00052264404296875,0.000127519039035221,0.000261838324397638,0.000783449761539862
"Firefox","guitar-lstm",0.000845670572916667,4.66832117683267e-05,0.000750192684418127,0.000941148461415207
"Firefox","steerable-nafx",0.000418050130208333,8.83734861629575e-05,0.000237306056729248,0.000598794203687418
"Safari","guitar-lstm",0.00100812174479167,0.000115466326005883,0.000771966592176276,0.00124427689740706
"Safari","steerable-nafx",0.0005390625,0.000126252038187541,0.000280848089119172,0.000797276910880828
